GO.ID	Term	Annotated	Significant	Expected	classicFisher	FDR	ontology	Species
GO:0003676	nucleic acid binding	2225	213	188.3	1.2e-17	2.4e-15	MF	Hls
GO:0044547	DNA topoisomerase binding	44	17	3.72	3.9e-08	3.8e-06	MF	Hls
GO:0046975	histone H3K36 methyltransferase activity	45	17	3.81	5.7e-08	3.8e-06	MF	Hls
GO:0005524	ATP binding	1166	149	98.68	7.7e-08	3.85e-06	MF	Hls
GO:0000014	single-stranded DNA endodeoxyribonucleas...	47	17	3.98	1.2e-07	4.8e-06	MF	Hls
GO:0042800	histone H3K4 methyltransferase activity	48	17	4.06	1.7e-07	5.66666666666667e-06	MF	Hls
GO:0140662	ATP-dependent protein folding chaperone	47	16	3.98	7.4e-07	2.11428571428571e-05	MF	Hls
GO:0015276	ligand-gated monoatomic ion channel acti...	193	31	16.33	0.00016	0.004	MF	Hls
GO:0005272	sodium channel activity	78	14	6.6	0.00018	0.004	MF	Hls
GO:0003690	double-stranded DNA binding	630	37	53.32	0.00038	0.0076	MF	Hls
GO:0016290	palmitoyl-CoA hydrolase activity	6	4	0.51	0.00067	0.0121818181818182	MF	Hls
GO:0004305	ethanolamine kinase activity	44	11	3.72	0.00085	0.0141666666666667	MF	Hls
GO:0004103	choline kinase activity	39	10	3.3	0.00118	0.0181538461538462	MF	Hls
GO:0003697	single-stranded DNA binding	90	17	7.62	0.00128	0.0182857142857143	MF	Hls
GO:0047499	calcium-independent phospholipase A2 act...	7	4	0.59	0.00145	0.0193333333333333	MF	Hls
GO:0004672	protein kinase activity	538	75	45.53	0.00188	0.0235	MF	Hls
GO:0004694	eukaryotic translation initiation factor...	56	12	4.74	0.00214	0.0251111111111111	MF	Hls
GO:0005246	calcium channel regulator activity	4	3	0.34	0.00226	0.0251111111111111	MF	Hls
GO:0004341	gluconolactonase activity	8	4	0.68	0.0027	0.028421052631579	MF	Hls
GO:0020037	heme binding	165	24	13.96	0.00609	0.0550769230769231	MF	Hls
GO:0004674	protein serine/threonine kinase activity	326	48	27.59	0.00614	0.0550769230769231	MF	Hls
GO:0005536	glucose binding	10	4	0.85	0.00707	0.0550769230769231	MF	Hls
GO:0004340	glucokinase activity	10	4	0.85	0.00707	0.0550769230769231	MF	Hls
GO:0008865	fructokinase activity	10	4	0.85	0.00707	0.0550769230769231	MF	Hls
GO:0050242	pyruvate, phosphate dikinase activity	2	2	0.17	0.00716	0.0550769230769231	MF	Hls
GO:0008686	3,4-dihydroxy-2-butanone-4-phosphate syn...	2	2	0.17	0.00716	0.0550769230769231	MF	Hls
GO:1904315	transmitter-gated monoatomic ion channel...	53	10	4.49	0.00746	0.0552592592592593	MF	Hls
GO:0004197	cysteine-type endopeptidase activity	89	15	7.53	0.0084	0.06	MF	Hls
GO:0005231	excitatory extracellular ligand-gated mo...	49	10	4.15	0.009	0.0620689655172414	MF	Hls
GO:0004499	N,N-dimethylaniline monooxygenase activi...	11	4	0.93	0.01037	0.0671612903225806	MF	Hls
GO:0051536	iron-sulfur cluster binding	60	7	5.08	0.01041	0.0671612903225806	MF	Hls
GO:0004553	hydrolase activity, hydrolyzing O-glycos...	317	38	26.83	0.01166	0.072875	MF	Hls
GO:0017171	serine hydrolase activity	259	34	21.92	0.01414	0.0856969696969697	MF	Hls
GO:0003677	DNA binding	1135	93	96.06	0.01606	0.0944705882352941	MF	Hls
GO:0004373	glycogen (starch) synthase activity	13	4	1.1	0.01961	0.106307692307692	MF	Hls
GO:0016705	oxidoreductase activity, acting on paire...	196	28	16.59	0.01974	0.106307692307692	MF	Hls
GO:0004018	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fu...	3	2	0.25	0.02026	0.106307692307692	MF	Hls
GO:0070626	(S)-2-(5-amino-1-(5-phospho-D-ribosyl)im...	3	2	0.25	0.02026	0.106307692307692	MF	Hls
GO:0008233	peptidase activity	601	75	50.86	0.02073	0.106307692307692	MF	Hls
GO:0008020	G protein-coupled photoreceptor activity	8	3	0.68	0.02448	0.1224	MF	Hls
GO:0005506	iron ion binding	178	23	15.06	0.02687	0.131073170731707	MF	Hls
GO:0008395	steroid hydroxylase activity	29	6	2.45	0.0318	0.151428571428571	MF	Hls
GO:0042826	histone deacetylase binding	15	4	1.27	0.03269	0.152046511627907	MF	Hls
GO:0008137	NADH dehydrogenase (ubiquinone) activity	9	3	0.76	0.03445	0.156590909090909	MF	Hls
GO:0004748	ribonucleoside-diphosphate reductase act...	4	2	0.34	0.03825	0.159375	MF	Hls
GO:0004823	leucine-tRNA ligase activity	4	2	0.34	0.03825	0.159375	MF	Hls
GO:0003911	DNA ligase (NAD+) activity	4	2	0.34	0.03825	0.159375	MF	Hls
GO:0004818	glutamate-tRNA ligase activity	4	2	0.34	0.03825	0.159375	MF	Hls
GO:0004252	serine-type endopeptidase activity	195	24	16.5	0.03995	0.163061224489796	MF	Hls
GO:0008168	methyltransferase activity	205	28	17.35	0.04579	0.18316	MF	Hls
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthas...	40	7	3.39	0.04837	0.189686274509804	MF	Hls
GO:0015074	DNA integration	141	48	10.79	9.1e-20	1.82e-17	BP	Hls
GO:0044774	mitotic DNA integrity checkpoint signali...	100	33	7.66	2.1e-08	2.1e-06	BP	Hls
GO:0000729	DNA double-strand break processing	48	17	3.67	3.9e-08	2.6e-06	BP	Hls
GO:0031297	replication fork processing	55	18	4.21	6.4e-08	3.2e-06	BP	Hls
