GO.ID	Term	Annotated	Significant	Expected	classicFisher	FDR	ontology	Species
GO:0003676	nucleic acid binding	2172	229	226.09	1.6e-19	3.2e-17	MF	Hrs
GO:0008194	UDP-glycosyltransferase activity	221	46	23.01	1.2e-05	0.0012	MF	Hrs
GO:0004177	aminopeptidase activity	35	10	3.64	2.8e-05	0.00186666666666667	MF	Hrs
GO:0004301	epoxide hydrolase activity	20	9	2.08	8.1e-05	0.00405	MF	Hrs
GO:0016705	oxidoreductase activity, acting on paire...	328	56	34.14	0.00033	0.0123333333333333	MF	Hrs
GO:0016614	oxidoreductase activity, acting on CH-OH...	156	23	16.24	0.00037	0.0123333333333333	MF	Hrs
GO:0019202	amino acid kinase activity	8	5	0.83	0.00052	0.0148571428571429	MF	Hrs
GO:0140359	ABC-type transporter activity	174	32	18.11	0.00096	0.024	MF	Hrs
GO:0005506	iron ion binding	251	42	26.13	0.00127	0.026875	MF	Hrs
GO:0020037	heme binding	222	38	23.11	0.00139	0.026875	MF	Hrs
GO:0008395	steroid hydroxylase activity	76	17	7.91	0.00176	0.026875	MF	Hrs
GO:0003691	double-stranded telomeric DNA binding	14	6	1.46	0.0018	0.026875	MF	Hrs
GO:0051880	G-quadruplex DNA binding	14	6	1.46	0.0018	0.026875	MF	Hrs
GO:0003677	DNA binding	1052	91	109.51	0.00205	0.026875	MF	Hrs
GO:0000014	single-stranded DNA endodeoxyribonucleas...	19	7	1.98	0.00212	0.026875	MF	Hrs
GO:0005044	scavenger receptor activity	24	8	2.5	0.00215	0.026875	MF	Hrs
GO:0000254	C-4 methylsterol oxidase activity	11	5	1.15	0.00327	0.0363333333333333	MF	Hrs
GO:0044547	DNA topoisomerase binding	11	5	1.15	0.00327	0.0363333333333333	MF	Hrs
GO:0003834	beta-carotene 15,15'-dioxygenase activit...	4	3	0.42	0.00415	0.0415	MF	Hrs
GO:0010436	carotenoid dioxygenase activity	4	3	0.42	0.00415	0.0415	MF	Hrs
GO:0008484	sulfuric ester hydrolase activity	44	11	4.58	0.00449	0.0427619047619048	MF	Hrs
GO:0050660	flavin adenine dinucleotide binding	157	27	16.34	0.00502	0.0446086956521739	MF	Hrs
GO:0046975	histone H3K36 methyltransferase activity	12	5	1.25	0.00513	0.0446086956521739	MF	Hrs
GO:0043047	single-stranded telomeric DNA binding	17	6	1.77	0.00566	0.0471666666666667	MF	Hrs
GO:0004842	ubiquitin-protein transferase activity	203	25	21.13	0.00629	0.05032	MF	Hrs
GO:0008233	peptidase activity	632	94	65.79	0.00697	0.0536153846153846	MF	Hrs
GO:0008476	protein-tyrosine sulfotransferase activi...	9	4	0.94	0.00958	0.070962962962963	MF	Hrs
GO:0033691	sialic acid binding	2	2	0.21	0.01083	0.0749655172413793	MF	Hrs
GO:0004170	dUTP diphosphatase activity	14	5	1.46	0.01087	0.0749655172413793	MF	Hrs
GO:0004103	choline kinase activity	37	9	3.85	0.01177	0.0784666666666667	MF	Hrs
GO:0042626	ATPase-coupled transmembrane transporter...	221	38	23.01	0.01433	0.0904848484848485	MF	Hrs
GO:0140223	general transcription initiation factor ...	54	10	5.62	0.01488	0.0904848484848485	MF	Hrs
GO:0042800	histone H3K4 methyltransferase activity	15	5	1.56	0.01493	0.0904848484848485	MF	Hrs
GO:0004185	serine-type carboxypeptidase activity	33	8	3.44	0.01751	0.0971891891891892	MF	Hrs
GO:0003824	catalytic activity	5773	693	600.94	0.0176	0.0971891891891892	MF	Hrs
GO:0004100	chitin synthase activity	6	3	0.62	0.01767	0.0971891891891892	MF	Hrs
GO:0004305	ethanolamine kinase activity	46	10	4.79	0.01798	0.0971891891891892	MF	Hrs
GO:0004523	RNA-DNA hybrid ribonuclease activity	63	12	6.56	0.02747	0.137409090909091	MF	Hrs
GO:0043531	ADP binding	7	3	0.73	0.02856	0.137409090909091	MF	Hrs
GO:0004832	valine-tRNA ligase activity	7	3	0.73	0.02856	0.137409090909091	MF	Hrs
GO:0034722	gamma-glutamyl-peptidase activity	7	3	0.73	0.02856	0.137409090909091	MF	Hrs
GO:0004559	alpha-mannosidase activity	36	8	3.75	0.0289	0.137409090909091	MF	Hrs
GO:1990269	RNA polymerase II C-terminal domain phos...	3	2	0.31	0.03023	0.137409090909091	MF	Hrs
GO:0042609	CD4 receptor binding	3	2	0.31	0.03023	0.137409090909091	MF	Hrs
GO:0004181	metallocarboxypeptidase activity	44	9	4.58	0.03482	0.154755555555556	MF	Hrs
GO:0008237	metallopeptidase activity	223	35	23.21	0.03754	0.163217391304348	MF	Hrs
GO:0004497	monooxygenase activity	248	51	25.82	0.04	0.166549019607843	MF	Hrs
GO:0004500	dopamine beta-monooxygenase activity	19	5	1.98	0.04078	0.166549019607843	MF	Hrs
GO:0004517	nitric-oxide synthase activity	8	3	0.83	0.04222	0.166549019607843	MF	Hrs
GO:0015171	amino acid transmembrane transporter act...	59	8	6.14	0.04224	0.166549019607843	MF	Hrs
GO:0016301	kinase activity	629	86	65.48	0.04247	0.166549019607843	MF	Hrs
GO:0008270	zinc ion binding	429	56	44.66	0.04346	0.167153846153846	MF	Hrs
GO:0003990	acetylcholinesterase activity	61	11	6.35	0.04824	0.181645161290323	MF	Hrs
GO:0005230	extracellular ligand-gated monoatomic io...	89	12	9.26	0.04994	0.181645161290323	MF	Hrs
GO:0004084	branched-chain-amino-acid transaminase a...	14	4	1.46	0.04996	0.181645161290323	MF	Hrs
GO:0006508	proteolysis	943	120	78.82	1.1e-07	2.2e-05	BP	Hrs
GO:0015074	DNA integration	40	13	3.34	1.3e-05	0.0013	BP	Hrs
GO:0016310	phosphorylation	563	70	47.06	4.1e-05	0.00255	BP	Hrs
GO:0043171	peptide catabolic process	28	10	2.34	5.1e-05	0.00255	BP	Hrs
GO:0006657	CDP-choline pathway	35	10	2.93	0.00042	0.0162857142857143	BP	Hrs
GO:0000722	telomere maintenance via recombination	14	6	1.17	0.00056	0.0162857142857143	BP	Hrs
GO:0032508	DNA duplex unwinding	27	9	2.26	0.00057	0.0162857142857143	BP	Hrs
GO:0006313	DNA transposition	26	8	2.17	0.00092	0.022	BP	Hrs
GO:0044774	mitotic DNA integrity checkpoint signali...	50	11	4.18	0.0012	0.022	BP	Hrs
GO:0090305	nucleic acid phosphodiester bond hydroly...	32	9	2.67	0.00121	0.022	BP	Hrs
GO:0048512	circadian behavior	40	10	3.34	0.00132	0.022	BP	Hrs
GO:0008344	adult locomotory behavior	40	10	3.34	0.00132	0.022	BP	Hrs
GO:0070192	chromosome organization involved in meio...	27	7	2.26	0.00185	0.02725	BP	Hrs
GO:0016126	sterol biosynthetic process	17	6	1.42	0.00193	0.02725	BP	Hrs
GO:0042574	retinal metabolic process	4	3	0.33	0.00218	0.02725	BP	Hrs
GO:0016121	carotene catabolic process	4	3	0.33	0.00218	0.02725	BP	Hrs
GO:0019216	regulation of lipid metabolic process	34	8	2.84	0.00258	0.0287777777777778	BP	Hrs
GO:0006303	double-strand break repair via nonhomolo...	18	6	1.5	0.00259	0.0287777777777778	BP	Hrs
