GO.ID	Term	Annotated	Significant	Expected	classicFisher	FDR	ontology	Species
GO:0004252	serine-type endopeptidase activity	481	141	91.82	2.5e-08	3.9e-06	MF	Hti
GO:0140359	ABC-type transporter activity	228	78	43.52	3.9e-08	3.9e-06	MF	Hti
GO:0004497	monooxygenase activity	304	83	58.03	3.2e-06	0.000213333333333333	MF	Hti
GO:0020037	heme binding	328	96	62.61	4.5e-06	0.000225	MF	Hti
GO:0016887	ATP hydrolysis activity	449	123	85.71	8.5e-06	0.00034	MF	Hti
GO:0016705	oxidoreductase activity, acting on paire...	362	89	69.1	2.2e-05	0.000733333333333333	MF	Hti
GO:0016491	oxidoreductase activity	1269	294	242.24	0.00015	0.004	MF	Hti
GO:0005524	ATP binding	1619	364	309.05	0.00016	0.004	MF	Hti
GO:0003676	nucleic acid binding	2446	433	466.92	0.00027	0.006	MF	Hti
GO:0015276	ligand-gated monoatomic ion channel acti...	279	68	53.26	0.00125	0.0213333333333333	MF	Hti
GO:0000166	nucleotide binding	2133	464	407.17	0.00125	0.0213333333333333	MF	Hti
GO:0004807	triose-phosphate isomerase activity	6	5	1.15	0.00128	0.0213333333333333	MF	Hti
GO:0004540	RNA nuclease activity	111	20	21.19	0.00157	0.0241538461538462	MF	Hti
GO:0000287	magnesium ion binding	121	36	23.1	0.00302	0.0414666666666667	MF	Hti
GO:0032574	5'-3' RNA helicase activity	15	8	2.86	0.00311	0.0414666666666667	MF	Hti
GO:0003887	DNA-directed DNA polymerase activity	50	18	9.54	0.0037	0.0445882352941177	MF	Hti
GO:0003747	translation release factor activity	25	11	4.77	0.00379	0.0445882352941177	MF	Hti
GO:0042626	ATPase-coupled transmembrane transporter...	339	107	64.71	0.00445	0.0470526315789474	MF	Hti
GO:0005506	iron ion binding	337	84	64.33	0.00447	0.0470526315789474	MF	Hti
GO:0005462	UDP-N-acetylglucosamine transmembrane tr...	3	3	0.57	0.00695	0.0695	MF	Hti
GO:0016829	lyase activity	185	35	35.32	0.00826	0.0786666666666667	MF	Hti
GO:0004312	fatty acid synthase activity	95	28	18.13	0.00946	0.0829565217391304	MF	Hti
GO:0004553	hydrolase activity, hydrolyzing O-glycos...	486	106	92.77	0.00954	0.0829565217391304	MF	Hti
GO:0047223	beta-1,3-galactosyl-O-glycosyl-glycoprot...	9	5	1.72	0.01604	0.12832	MF	Hti
GO:0004749	ribose phosphate diphosphokinase activit...	9	5	1.72	0.01604	0.12832	MF	Hti
GO:0051537	2 iron, 2 sulfur cluster binding	49	16	9.35	0.01673	0.128692307692308	MF	Hti
GO:0004672	protein kinase activity	902	207	172.18	0.01811	0.134148148148148	MF	Hti
GO:0004694	eukaryotic translation initiation factor...	79	23	15.08	0.02029	0.139	MF	Hti
GO:0004170	dUTP diphosphatase activity	23	9	4.39	0.02045	0.139	MF	Hti
GO:0016290	palmitoyl-CoA hydrolase activity	16	7	3.05	0.02085	0.139	MF	Hti
GO:0010333	terpene synthase activity	31	11	5.92	0.02366	0.148875	MF	Hti
GO:0008569	minus-end-directed microtubule motor act...	4	3	0.76	0.02382	0.148875	MF	Hti
