"go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0003676",1,"GO:0003676",21.6382721639824,2260,"nucleic acid binding","nucleic acid binding",0.948771428571429,0.654,0
"GO:0140359",2,"GO:0140359",6.50863830616573,51,"ABC-type transporter activity","ABC-type transporter activity",1,1,0
"GO:0020037",1,"GO:0003676",6.0268721464003,137,"heme binding","nucleic acid binding",0.963085714285714,0.749,0.381
"GO:0004694",3,"GO:0004694",5.61978875828839,2,"eukaryotic translation initiation factor 2alpha kinase activity","eukaryotic translation initiation factor 2alpha kinase activity",0.864914285714286,0.61775,0
"GO:0004672",3,"GO:0004694",5.60205999132796,219,"protein kinase activity","eukaryotic translation initiation factor 2alpha kinase activity",0.804428571428571,0.5275,0.565
"GO:0016705",4,"GO:0016705",5.08092190762393,174,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.836742857142857,0.527,0
"GO:0005506",5,"GO:0005506",4.88605664769316,157,"iron ion binding","iron ion binding",0.968685714285714,1,0
"GO:0008395",4,"GO:0016705",4.27572413039921,5,"steroid hydroxylase activity","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.8682,0.585166666666667,0.438
"GO:0016491",4,"GO:0016705",4.22184874961636,607,"oxidoreductase activity","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.810514285714286,0.464333333333333,0.749
"GO:0008146",6,"GO:0008146",4.20760831050175,16,"sulfotransferase activity","sulfotransferase activity",0.869657142857143,0.818,0
"GO:0005524",1,"GO:0003676",4.03621217265444,639,"ATP binding","nucleic acid binding",0.915685714285714,0.5855,0.474
"GO:0016887",7,"GO:0016887",3.72124639904717,195,"ATP hydrolysis activity","ATP hydrolysis activity",0.8642,1,0
"GO:0016671",4,"GO:0016705",3.56863623584101,8,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.872685714285714,0.627,0.46
"GO:0004586",8,"GO:0004586",3.44369749923271,2,"ornithine decarboxylase activity","ornithine decarboxylase activity",0.924857142857143,1,0
"GO:0044547",9,"GO:0044547",3.34678748622466,3,"DNA topoisomerase binding","DNA topoisomerase binding",0.985485714285714,1,0
"GO:0004867",10,"GO:0004867",3.33724216831843,68,"serine-type endopeptidase inhibitor activity","serine-type endopeptidase inhibitor activity",1,1,0
"GO:0000014",11,"GO:0000014",3.29242982390206,15,"single-stranded DNA endodeoxyribonuclease activity","single-stranded DNA endodeoxyribonuclease activity",0.884514285714286,0.81,0
"GO:0046975",12,"GO:0046975",3.21467016498923,6,"histone H3K36 methyltransferase activity","histone H3K36 methyltransferase activity",0.864028571428571,0.6065,0
"GO:0070012",13,"GO:0070012",3.07058107428571,2,"oligopeptidase activity","oligopeptidase activity",0.876857142857143,1,0
"GO:0000166",1,"GO:0003676",2.92811799269387,963,"nucleotide binding","nucleic acid binding",0.9404,0.5665,0.529
"GO:0016614",4,"GO:0016705",2.86327943284359,128,"oxidoreductase activity, acting on CH-OH group of donors","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.838,0.530333333333333,0.611
"GO:0042800",12,"GO:0046975",2.83564714421556,12,"histone H3K4 methyltransferase activity","histone H3K36 methyltransferase activity",0.8558,0.6065,0.787
"GO:0004714",3,"GO:0004694",2.68402965454308,17,"transmembrane receptor protein tyrosine kinase activity","eukaryotic translation initiation factor 2alpha kinase activity",0.845228571428571,0.58825,0.456
"GO:0004497",4,"GO:0016705",2.67985371388895,111,"monooxygenase activity","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",0.835057142857143,0.4915,0.58
"GO:0003990",11,"GO:0000014",2.59345981956604,1,"acetylcholinesterase activity","single-stranded DNA endodeoxyribonuclease activity",0.893571428571429,0.81,0.38
"GO:0004558",14,"GO:0004558",2.48811663902113,11,"alpha-1,4-glucosidase activity","alpha-1,4-glucosidase activity",0.8494,0.45575,0
"GO:0004709",3,"GO:0004694",2.46344155742847,8,"MAP kinase kinase kinase activity","eukaryotic translation initiation factor 2alpha kinase activity",0.852685714285714,0.5895,0.508
"GO:0035252",15,"GO:0035252",2.42829116819131,5,"UDP-xylosyltransferase activity","UDP-xylosyltransferase activity",0.880428571428571,1,0
"GO:0004565",14,"GO:0004558",2.42250820016277,2,"beta-galactosidase activity","alpha-1,4-glucosidase activity",0.864457142857143,0.5465,0.601
"GO:0004348",14,"GO:0004558",2.38090666937326,3,"glucosylceramidase activity","alpha-1,4-glucosidase activity",0.860742857142857,0.5375,0.618
"GO:0015926",14,"GO:0004558",2.35261702988538,17,"glucosidase activity","alpha-1,4-glucosidase activity",0.8438,0.44375,0.958
"GO:0016747",6,"GO:0008146",2.32057210338788,171,"acyltransferase activity, transferring groups other than amino-acyl groups","sulfotransferase activity",0.843571428571429,0.818,0.364
"GO:0008061",16,"GO:0008061",2.31785492362617,123,"chitin binding","chitin binding",0.964,1,0
"GO:0016405",17,"GO:0016405",2.20971483596676,26,"CoA-ligase activity","CoA-ligase activity",0.908971428571429,1,0
"GO:0003824",18,"GO:0003824",2.09474395125155,3759,"catalytic activity","catalytic activity",0.849085714285714,1,0
