GO.ID	Term	Annotated	Significant	Expected	classicFisher	FDR	ontology	Species
GO:0003676	nucleic acid binding	2656	470	497.51	2.3e-22	4.6e-20	MF	Ppr
GO:0140359	ABC-type transporter activity	191	65	35.78	3.1e-07	3.1e-05	MF	Ppr
GO:0020037	heme binding	269	83	50.39	9.4e-07	6.26666666666667e-05	MF	Ppr
GO:0004694	eukaryotic translation initiation factor...	73	31	13.67	2.4e-06	1e-04	MF	Ppr
GO:0004672	protein kinase activity	689	171	129.06	2.5e-06	1e-04	MF	Ppr
GO:0016705	oxidoreductase activity, acting on paire...	361	97	67.62	8.3e-06	0.000276666666666667	MF	Ppr
GO:0005506	iron ion binding	321	88	60.13	1.3e-05	0.000371428571428571	MF	Ppr
GO:0008395	steroid hydroxylase activity	68	27	12.74	5.3e-05	0.00124	MF	Ppr
GO:0016491	oxidoreductase activity	1133	286	212.23	6e-05	0.00124	MF	Ppr
GO:0008146	sulfotransferase activity	67	28	12.55	6.2e-05	0.00124	MF	Ppr
GO:0005524	ATP binding	1412	318	264.49	9.2e-05	0.00167272727272727	MF	Ppr
GO:0016887	ATP hydrolysis activity	392	102	73.43	0.00019	0.00316666666666667	MF	Ppr
GO:0016671	oxidoreductase activity, acting on a sul...	42	18	7.87	0.00027	0.00415384615384615	MF	Ppr
GO:0004586	ornithine decarboxylase activity	12	8	2.25	0.00036	0.00514285714285714	MF	Ppr
GO:0044547	DNA topoisomerase binding	47	19	8.8	0.00045	0.00575	MF	Ppr
GO:0004867	serine-type endopeptidase inhibitor acti...	69	25	12.92	0.00046	0.00575	MF	Ppr
GO:0000014	single-stranded DNA endodeoxyribonucleas...	51	20	9.55	0.00051	0.006	MF	Ppr
GO:0046975	histone H3K36 methyltransferase activity	48	19	8.99	0.00061	0.00677777777777778	MF	Ppr
GO:0070012	oligopeptidase activity	8	6	1.5	0.00085	0.00894736842105263	MF	Ppr
GO:0000166	nucleotide binding	2015	446	377.44	0.00118	0.0118	MF	Ppr
GO:0016614	oxidoreductase activity, acting on CH-OH...	185	42	34.65	0.00137	0.013047619047619	MF	Ppr
GO:0042800	histone H3K4 methyltransferase activity	51	19	9.55	0.00146	0.0132727272727273	MF	Ppr
GO:0004714	transmembrane receptor protein tyrosine ...	62	23	11.61	0.00207	0.0174166666666667	MF	Ppr
GO:0004497	monooxygenase activity	283	85	53.01	0.00209	0.0174166666666667	MF	Ppr
GO:0003990	acetylcholinesterase activity	57	20	10.68	0.00255	0.0204	MF	Ppr
GO:0004558	alpha-1,4-glucosidase activity	25	11	4.68	0.00325	0.025	MF	Ppr
GO:0004709	MAP kinase kinase kinase activity	7	5	1.31	0.00344	0.0254814814814815	MF	Ppr
GO:0035252	UDP-xylosyltransferase activity	22	10	4.12	0.00373	0.0260689655172414	MF	Ppr
GO:0004565	beta-galactosidase activity	36	14	6.74	0.00378	0.0260689655172414	MF	Ppr
GO:0004348	glucosylceramidase activity	40	15	7.49	0.00416	0.0277333333333333	MF	Ppr
GO:0015926	glucosidase activity	45	20	8.43	0.00444	0.0286451612903226	MF	Ppr
GO:0016747	acyltransferase activity, transferring g...	367	75	68.75	0.00478	0.0291515151515152	MF	Ppr
GO:0008061	chitin binding	215	56	40.27	0.00481	0.0291515151515152	MF	Ppr
GO:0016405	CoA-ligase activity	90	25	16.86	0.00617	0.0362941176470588	MF	Ppr
GO:0003824	catalytic activity	7051	1497	1320.77	0.00804	0.0459428571428571	MF	Ppr
GO:0005319	lipid transporter activity	104	31	19.48	0.01033	0.0573888888888889	MF	Ppr
GO:0004252	serine-type endopeptidase activity	205	52	38.4	0.01098	0.0593513513513513	MF	Ppr
GO:0004557	alpha-galactosidase activity	15	7	2.81	0.01262	0.066421052631579	MF	Ppr
GO:0004170	dUTP diphosphatase activity	6	4	1.12	0.01335	0.06675	MF	Ppr
GO:0098882	structural constituent of presynaptic ac...	6	4	1.12	0.01335	0.06675	MF	Ppr
GO:0004601	peroxidase activity	50	16	9.37	0.01389	0.0677560975609756	MF	Ppr
GO:0008194	UDP-glycosyltransferase activity	137	37	25.66	0.01491	0.071	MF	Ppr
GO:0004560	alpha-L-fucosidase activity	19	8	3.56	0.01586	0.0728181818181818	MF	Ppr
GO:0004032	alditol:NADP+ 1-oxidoreductase activity	30	11	5.62	0.01602	0.0728181818181818	MF	Ppr
GO:0016712	oxidoreductase activity, acting on paire...	50	16	9.37	0.01717	0.0763111111111111	MF	Ppr
GO:0005178	integrin binding	23	9	4.31	0.01817	0.0783829787234042	MF	Ppr
GO:0042626	ATPase-coupled transmembrane transporter...	326	98	61.07	0.01842	0.0783829787234042	MF	Ppr
GO:0004103	choline kinase activity	39	13	7.31	0.02146	0.08836	MF	Ppr
GO:0140293	ADP-ribosylglutamate hydrolase activity	13	6	2.44	0.02209	0.08836	MF	Ppr
GO:0030020	extracellular matrix structural constitu...	13	6	2.44	0.02209	0.08836	MF	Ppr
GO:0046921	alpha-(1->6)-fucosyltransferase activity	10	5	1.87	0.02508	0.0983529411764706	MF	Ppr
GO:0019531	oxalate transmembrane transporter activi...	21	8	3.93	0.03008	0.109625	MF	Ppr
GO:0015106	bicarbonate transmembrane transporter ac...	27	9	5.06	0.03009	0.109625	MF	Ppr
GO:0015108	chloride transmembrane transporter activ...	108	19	20.23	0.03042	0.109625	MF	Ppr
GO:0004435	phosphatidylinositol phospholipase C act...	14	6	2.62	0.03265	0.109625	MF	Ppr
GO:0003677	DNA binding	1250	179	234.15	0.03268	0.109625	MF	Ppr
GO:0004363	glutathione synthase activity	2	2	0.37	0.03508	0.109625	MF	Ppr
GO:0008115	sarcosine oxidase activity	2	2	0.37	0.03508	0.109625	MF	Ppr
GO:0005009	insulin receptor activity	2	2	0.37	0.03508	0.109625	MF	Ppr
GO:0043560	insulin receptor substrate binding	2	2	0.37	0.03508	0.109625	MF	Ppr
GO:0043295	glutathione binding	2	2	0.37	0.03508	0.109625	MF	Ppr
GO:0002058	uracil binding	2	2	0.37	0.03508	0.109625	MF	Ppr
GO:0030729	acetoacetate-CoA ligase activity	2	2	0.37	0.03508	0.109625	MF	Ppr
GO:0017113	dihydropyrimidine dehydrogenase (NADP+) ...	2	2	0.37	0.03508	0.109625	MF	Ppr
GO:0004650	polygalacturonase activity	11	5	2.06	0.03902	0.118242424242424	MF	Ppr
GO:0017154	semaphorin receptor activity	11	5	2.06	0.03902	0.118242424242424	MF	Ppr
GO:0070006	metalloaminopeptidase activity	22	8	4.12	0.03972	0.118567164179104	MF	Ppr
GO:0005230	extracellular ligand-gated monoatomic io...	111	22	20.79	0.04148	0.122	MF	Ppr
GO:0016504	peptidase activator activity	38	11	7.12	0.04525	0.124641025641026	MF	Ppr
GO:0004100	chitin synthase activity	8	4	1.5	0.04533	0.124641025641026	MF	Ppr
GO:0004930	G protein-coupled receptor activity	332	67	62.19	0.04533	0.124641025641026	MF	Ppr
GO:0005044	scavenger receptor activity	15	6	2.81	0.046	0.124641025641026	MF	Ppr
GO:0008241	peptidyl-dipeptidase activity	15	6	2.81	0.046	0.124641025641026	MF	Ppr
GO:0016772	transferase activity, transferring phosp...	992	222	185.82	0.04681	0.124641025641026	MF	Ppr
GO:0050660	flavin adenine dinucleotide binding	132	32	24.73	0.04712	0.124641025641026	MF	Ppr
GO:0001733	galactosylceramide sulfotransferase acti...	5	3	0.94	0.04861	0.124641025641026	MF	Ppr
GO:0070573	metallodipeptidase activity	5	3	0.94	0.04861	0.124641025641026	MF	Ppr
GO:0004573	Glc3Man9GlcNAc2 oligosaccharide glucosid...	5	3	0.94	0.04861	0.124641025641026	MF	Ppr
GO:0015074	DNA integration	138	67	21.5	6.5e-20	1.3e-17	BP	Ppr
GO:0006468	protein phosphorylation	733	173	114.18	5.6e-13	5.6e-11	BP	Ppr
GO:0055085	transmembrane transport	1101	223	171.51	7.2e-12	4.8e-10	BP	Ppr
GO:0006313	DNA transposition	45	27	7.01	1.3e-11	6.5e-10	BP	Ppr
GO:0051923	sulfation	46	25	7.17	1.4e-09	5.6e-08	BP	Ppr
GO:0005975	carbohydrate metabolic process	605	151	94.24	2.7e-07	9e-06	BP	Ppr
GO:0006869	lipid transport	144	41	22.43	5.8e-06	0.000165714285714286	BP	Ppr
