scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name
scaffold_1,4910,71885,45911,25000,0.001213,0.001824,0.00159,0.024735,166546,scaffold_1_1
scaffold_1,71886,113861,93222,25000,0.00108,0.001332,0.001161,-0.005079,166546,scaffold_1_1
scaffold_1,113862,160276,137142,25000,0.000833,0.001076,0.001004,0.025849,166546,scaffold_1_1
scaffold_1,239010,298929,266158,25000,0.001295,0.000884,0.001075,-0.001092,1144040,scaffold_1_2
scaffold_1,298930,392908,358231,25000,0.001544,0.001709,0.001898,0.074957,1144040,scaffold_1_2
scaffold_1,392909,421241,406794,25000,0.00059,0.001263,0.000845,-0.065198,1144040,scaffold_1_2
scaffold_1,421242,465010,444418,25000,0.000986,0.002062,0.001445,-0.028458,1144040,scaffold_1_2
scaffold_1,465011,491684,477818,25000,0.001658,0.00291,0.002343,0.013525,1144040,scaffold_1_2
scaffold_1,491685,586777,536587,25000,0.001436,0.001587,0.001385,-0.054104,1144040,scaffold_1_2
scaffold_1,586778,618913,602324,25000,0.00129,0.001514,0.001343,-0.01112,1144040,scaffold_1_2
scaffold_1,618914,650393,635904,25000,0.002041,0.00273,0.002097,-0.068846,1144040,scaffold_1_2
scaffold_1,650394,780022,701517,25000,0.001691,0.001929,0.001627,-0.057172,1144040,scaffold_1_2
scaffold_1,780023,857360,821002,25000,0.001539,0.001683,0.001652,0.01347,1144040,scaffold_1_2
scaffold_1,857361,889444,875911,25000,0.001555,0.00233,0.001717,-0.065834,1144040,scaffold_1_2
scaffold_1,889445,953670,924961,25000,0.001084,0.001448,0.001708,0.15702,1144040,scaffold_1_2
scaffold_1,953671,1017314,981516,25000,0.000645,0.000827,0.000657,-0.058772,1144040,scaffold_1_2
scaffold_1,1017315,1068769,1040930,25000,0.001523,0.002721,0.001896,-0.060292,1144040,scaffold_1_2
scaffold_1,1068770,1126536,1101839,25000,0.002182,0.002121,0.001898,-0.067089,1144040,scaffold_1_2
scaffold_1,1126537,1154370,1140632,25000,0.0029,0.001862,0.003422,0.189131,1144040,scaffold_1_2
scaffold_1,1154371,1227425,1188146,25000,0.002739,0.002096,0.002422,0.000985,1144040,scaffold_1_2
scaffold_1,1227426,1274315,1251281,25000,0.001898,0.002353,0.002499,0.085727,1144040,scaffold_1_2
scaffold_1,1274316,1307333,1292305,25000,0.00168,0.001549,0.001484,-0.045048,1144040,scaffold_1_2
