scaffold,start,end,mid,sites,pi_Hls1,pi_Hls2,dxy_Hls1_Hls2,Fst_Hls1_Hls2
scaffold_1,12305,44133,29776,25000,0.000784,0.000784,0.006818,0.801023
scaffold_1,44134,80662,64902,25000,0.000482,0.000458,0.009207,0.907287
scaffold_1,80667,107294,93657,25000,0.000958,0.000946,0.012674,0.866296
scaffold_1,107295,135149,120978,25000,0.000591,0.000521,0.00318,0.708921
scaffold_1,135150,162430,148160,25000,0.000784,0.000773,0.01568,0.909712
scaffold_1,162431,188724,175620,25000,0.000922,0.000935,0.008471,0.810444
scaffold_1,188725,214565,201662,25000,0.000647,0.000677,0.016959,0.928325
scaffold_1,214566,240815,227637,25000,0.001126,0.001181,0.014299,0.857134
scaffold_1,240816,267686,254230,25000,0.001043,0.000909,0.018323,0.901693
scaffold_1,267687,296085,282569,25000,0.000566,0.000585,0.01498,0.929434
scaffold_1,296086,321468,308761,25000,0.001179,0.001168,0.016294,0.871482
scaffold_1,321469,353207,338490,25000,0.000813,0.000789,0.016796,0.913141
scaffold_1,353208,380671,366926,25000,0.000742,0.000768,0.021331,0.934842
scaffold_1,380672,409387,394948,25000,0.000478,0.000382,0.013814,0.941436
scaffold_1,409388,436742,423168,25000,0.00044,0.000499,0.016693,0.946907
scaffold_1,436743,463148,450264,25000,0.001029,0.000827,0.009663,0.832046
scaffold_1,463149,489262,475976,25000,0.000835,0.001192,0.00814,0.787265
scaffold_1,489263,515877,502713,25000,0.000871,0.000887,0.010984,0.858201
scaffold_1,515878,541491,528733,25000,0.001131,0.00102,0.013749,0.861117
scaffold_1,541492,567893,554701,25000,0.001588,0.001574,0.018808,0.851494
scaffold_1,567894,613725,585823,25000,0.000813,0.00088,0.012275,0.875805
scaffold_1,613726,642127,628242,25000,0.001496,0.00183,0.016199,0.821446
scaffold_1,642128,671153,657390,25000,0.001357,0.001323,0.003293,0.434067
scaffold_1,671154,699976,686334,25000,0.00086,0.000797,0.011255,0.868869
scaffold_1,699977,730332,714105,25000,0.001114,0.001371,0.001344,0.040986
scaffold_1,730333,758647,743720,25000,0.001002,0.001221,0.001,-0.05567
scaffold_1,758648,786930,772375,25000,0.001443,0.001585,0.020876,0.870651
scaffold_1,786931,812746,799891,25000,0.001535,0.001512,0.006416,0.628273
scaffold_1,812747,838365,825530,25000,0.001389,0.001695,0.013025,0.796765
scaffold_1,838366,863914,851142,25000,0.001534,0.001584,0.011435,0.769285
scaffold_1,863915,890593,877423,25000,0.000494,0.000384,0.013165,0.938459
scaffold_1,890594,920859,906536,25000,0.000882,0.00076,0.001642,0.344833
scaffold_1,920860,959648,939372,25000,0.001187,0.001282,0.019855,0.888106
scaffold_1,959649,987579,973902,25000,0.001622,0.001622,0.010218,0.736065
scaffold_1,987580,1013487,1000498,25000,0.001259,0.001387,0.00497,0.592052
scaffold_1,1013488,1045380,1028219,25000,0.001138,0.001121,0.00247,0.38442
scaffold_1,1045381,1077695,1064417,25000,0.000866,0.000913,0.012197,0.869967
scaffold_1,1077696,1103488,1090593,25000,0.001037,0.001254,0.015391,0.867489
scaffold_1,1103489,1134137,1120464,25000,0.00129,0.001312,0.015121,0.849972
scaffold_1,1134138,1161911,1147860,25000,0.001765,0.002035,0.021088,0.841629
scaffold_1,1161912,1207923,1179863,25000,0.000559,0.000675,0.011582,0.895451
scaffold_1,1207924,1233137,1220551,25000,0.000566,0.000577,0.000515,-0.054896
scaffold_1,1233138,1267892,1251377,25000,0.001825,0.001918,0.00885,0.662475
scaffold_1,1267893,1305421,1282722,25000,0.001102,0.001146,0.01829,0.889387
scaffold_1,1305422,1336267,1319963,25000,0.000957,0.001121,0.001729,0.258956
scaffold_1,1336268,1373769,1352855,25000,0.000518,0.000521,0.026848,0.963651
scaffold_1,1373770,1404432,1389152,25000,0.00089,0.000945,0.022679,0.925831
scaffold_1,1404433,1431092,1417935,25000,0.002228,0.002331,0.024977,0.839774
scaffold_1,1431093,1480714,1457276,25000,0.002061,0.002155,0.019183,0.810009
scaffold_1,1480715,1508566,1494806,25000,0.001357,0.001379,0.008561,0.734538
scaffold_1,1508567,1537509,1522285,25000,0.000728,0.000728,0.004529,0.733327
scaffold_1,1537510,1566377,1551924,25000,0.001458,0.001732,0.009858,0.731658
scaffold_1,1566378,1594212,1579897,25000,0.00102,0.000914,0.010457,0.837822
scaffold_1,1594213,1624850,1609197,25000,0.001177,0.00126,0.023358,0.905328
scaffold_1,1624851,1652391,1639302,25000,0.001142,0.001127,0.016958,0.880088
scaffold_1,1652392,1678009,1665077,25000,0.002114,0.001889,0.015482,0.779942
scaffold_1,1678010,1710252,1694866,25000,0.001433,0.001356,0.008285,0.722306
scaffold_1,1710253,1735708,1722965,25000,0.002641,0.002781,0.00479,0.287631
scaffold_1,1735709,1762029,1748682,25000,0.001042,0.000858,0.006687,0.760679
scaffold_1,1762030,1789400,1775956,25000,0.001697,0.001735,0.011956,0.758494
scaffold_1,1789401,1820248,1804535,25000,0.000872,0.000857,0.014155,0.889981
scaffold_1,1820249,1845825,1833063,25000,0.002156,0.002103,0.008708,0.619179
scaffold_1,1845826,1871760,1858743,25000,0.001079,0.001101,0.005746,0.692055
scaffold_1,1871761,1901340,1887282,25000,0.00076,0.000781,0.015294,0.908403
scaffold_1,1901341,1939212,1921043,25000,0.000618,0.000817,0.012547,0.894821
scaffold_1,1939213,1967548,1953122,25000,0.000794,0.000649,0.007969,0.838401
scaffold_1,1967549,1995104,1981407,25000,0.001155,0.001117,0.010922,0.818257
scaffold_1,1995105,2022434,2008724,25000,0.001149,0.001184,0.015105,0.861952
scaffold_1,2022435,2058287,2043137,25000,0.001042,0.001048,0.016788,0.888015
scaffold_1,2058288,2088862,2072765,25000,0.000901,0.00129,0.01268,0.847683
scaffold_1,2088863,2118743,2102889,25000,0.002111,0.002044,0.015964,0.778666
scaffold_1,2118744,2146312,2133279,25000,0.001482,0.00146,0.01636,0.841973
scaffold_1,2146313,2173065,2159996,25000,0.002809,0.002736,0.017763,0.738606
scaffold_1,2173066,2201987,2187624,25000,0.002308,0.002412,0.01647,0.758861
scaffold_1,2201988,2232658,2218942,25000,0.001116,0.001396,0.017346,0.870843
scaffold_1,2232659,2260864,2247428,25000,0.002864,0.002809,0.021501,0.774863
scaffold_1,2260865,2293349,2276242,25000,0.001352,0.001334,0.015357,0.84687
scaffold_1,2293350,2330889,2315317,25000,0.000689,0.000732,0.009174,0.861614
scaffold_1,2330890,2362758,2349352,25000,0.001411,0.001523,0.017735,0.853764
scaffold_1,2362759,2396552,2380166,25000,0.001406,0.001155,0.012726,0.824729
scaffold_1,2396553,2428285,2411311,25000,0.0016,0.001588,0.019108,0.852566
scaffold_1,2428286,2462624,2444162,25000,0.000929,0.001153,0.024401,0.921939
scaffold_1,2462625,2491601,2477022,25000,0.001257,0.001077,0.015373,0.864049
scaffold_1,2491602,2530169,2510410,25000,0.001436,0.001472,0.017821,0.855556
scaffold_1,2530170,2577814,2553779,25000,0.000799,0.000816,0.009122,0.844165
scaffold_1,2577815,2612333,2594491,25000,0.001906,0.001717,0.019264,0.835274
scaffold_1,2612334,2643449,2626571,25000,0.00151,0.001565,0.009698,0.736429
scaffold_1,2643450,2668865,2656180,25000,0.002018,0.001865,0.010242,0.688147
scaffold_1,2668866,2698383,2683127,25000,0.000906,0.000901,0.004787,0.693402
scaffold_1,2698384,2723383,2710884,25000,0.000156,0.000151,0.000138,-0.056407
scaffold_1,2723384,2752752,2737902,25000,0.001141,0.001195,0.013123,0.843477
scaffold_1,2752753,2787498,2771429,25000,0.001161,0.00118,0.013094,0.842846
scaffold_1,2787499,2813408,2800700,25000,0.001217,0.001576,0.007704,0.703903
scaffold_1,2813409,2841267,2827716,25000,0.000833,0.000935,0.014593,0.890829
scaffold_1,2841268,2867185,2854375,25000,0.000925,0.001064,0.012641,0.859495
scaffold_1,2867186,2914758,2888406,25000,0.001909,0.001907,0.010786,0.710035
scaffold_1,2914759,2959375,2939663,25000,0.000739,0.000827,0.002501,0.52042
scaffold_1,2959376,2985481,2972640,25000,0.000593,0.000562,0.01393,0.924076
scaffold_1,2985482,3014779,2999420,25000,0.002486,0.002393,0.024054,0.823428
scaffold_1,3014780,3040970,3028068,25000,0.001885,0.001874,0.011586,0.731065
scaffold_1,3040971,3066720,3053915,25000,0.002813,0.002773,0.010895,0.604212
scaffold_1,3066721,3092453,3079642,25000,0.001001,0.001012,0.001125,0.058304
scaffold_1,3092454,3119539,3106203,25000,0.001235,0.001215,0.015742,0.861828
