#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
Hls.90_ref_sa	scaffold_1	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	120644	113010	990	0	46	1663.0	2456.7391304347825	3	16847	113010	155112.0	210111.5652173913	1214	1158728	9665132	114000	114000	113010	0.9913157894736843	0.9913157894736843	339300
Hls.90_ref_sa	scaffold_2	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	122403	115732	669	0	37	1395	3127.891891891892	2	13631	115732	117071	254180.94594594595	590	971355	9404695	116401	116401	115732	0.994252626695647	0.994252626695647	603191
Hls.90_ref_sa	scaffold_3	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	123504	111315	1123	0	54	806.5	2061.3888888888887	16	15690	111315	54243.0	133881.62962962964	3066	956179	7229608	112438	112438	111315	0.9900122734306906	0.9900122734306906	222722
Hls.90_ref_sa	scaffold_4	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	98098	91562	736	0	34	1898.0	2693.0	66	11258	91562	181549.5	227555.0588235294	7687	973587	7736872	92298	92298	91562	0.9920258293787514	0.9920258293787514	390864
Hls.90_ref_sa	scaffold_5	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	72164	66891	567	0	30	1153.0	2229.7	20	11593	66891	94995.0	176985.33333333334	1112	788011	5309560	67458	67458	66891	0.9915947700791604	0.9915947700791604	292664
Hls.90_ref_sa	scaffold_6	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	67149	63638	380	0	18	1640.5	3535.4444444444443	48	12162	63638	141648.5	290143.22222222225	3183	967499	5222578	64018	64018	63638	0.9940641694523416	0.9940641694523416	562661
Hls.90_ref_sa	scaffold_7	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	67467	60617	673	0	32	1152.5	1894.28125	11	7668	60617	78904.0	132671.46875	5736	615100	4245487	61290	61290	60617	0.9890194158916625	0.9890194158916625	210187
Hls.90_ref_sa	scaffold_8	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	49857	47063	492	0	24	864.5	1960.9583333333333	10	8408	47063	100386.0	164988.25	6802	746158	3959718	47555	47555	47063	0.9896540847439806	0.9896540847439806	218083
Hls.90_ref_sa	scaffold_9	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	51749	48098	492	0	23	1253	2091.217391304348	88	9429	48098	102769	175121.69565217392	2799	711375	4027799	48590	48590	48098	0.9898744597653838	0.9898744597653838	248261
Hls.90_ref_sa	scaffold_10	Hls.varSNPs.biallpass.filtered.phased.vcf.gz	46835	42764	522	0	24	450.5	1781.8333333333333	3	8129	42764	46662.5	147230.70833333334	761	630868	3533537	43286	43286	42764	0.9879406736589197	0.9879406736589197	282342
