#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
Hrs.ref_sa	scaffold_1	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	252075	77929	1626	0	176	210.0	442.77840909090907	2	4748	77929	51162.5	72241.15340909091	17	487289	12714443	79555	79555	77929	0.9795613097856829	0.9795613097856829	73358
Hrs.ref_sa	scaffold_2	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	119306	36174	722	0	66	269.5	548.0909090909091	3	4699	36174	50038.5	88092.4696969697	948	522208	5814103	36896	36896	36174	0.9804314830875975	0.9804314830875975	90806
Hrs.ref_sa	scaffold_3	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	117376	37416	822	0	77	193	485.9220779220779	2	3138	37416	40733	63576.0	397	456285	4895352	38238	38238	37416	0.9785030597834615	0.9785030597834615	40813
Hrs.ref_sa	scaffold_4	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	83581	28974	541	0	64	264.5	452.71875	2	2538	28974	36260.0	56725.34375	328	243927	3630422	29515	29515	28974	0.9816703371167204	0.9816703371167204	18007
Hrs.ref_sa	scaffold_5	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	72547	30718	415	0	44	360.0	698.1363636363636	2	3316	30718	74588.0	117761.11363636363	1987	669687	5181489	31133	31133	30718	0.9866700928275464	0.9866700928275464	130018
Hrs.ref_sa	scaffold_6	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	63505	21089	464	0	60	190.0	351.48333333333335	6	2096	21089	32837.0	57702.45	2151	331899	3462147	21553	21553	21089	0.978471674476871	0.978471674476871	29539
Hrs.ref_sa	scaffold_7	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	35910	12833	68	0	37	230	346.8378378378378	2	1332	12833	84182	115398.02702702703	255	336909	4269727	12901	12901	12833	0.9947290907681575	0.9947290907681575	172571
Hrs.ref_sa	scaffold_8	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	34445	11789	64	0	32	275.5	368.40625	7	1526	11789	87741.5	121275.71875	4585	413879	3880823	11853	11853	11789	0.9946005230743272	0.9946005230743272	147202
Hrs.ref_sa	scaffold_9	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	46832	15431	72	0	39	226	395.6666666666667	3	1761	15431	71022	93809.76923076923	641	376406	3658581	15503	15503	15431	0.9953557375991744	0.9953557375991744	100738
Hrs.ref_sa	scaffold_10	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	35800	12342	77	0	29	303	425.58620689655174	3	1734	12342	92618	133346.10344827586	324	521593	3867037	12419	12419	12342	0.9937998228520815	0.9937998228520815	196468
Hrs.ref_sa	scaffold_11	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	78090	31029	452	0	38	437.5	816.5526315789474	20	5455	31029	64473.0	87153.86842105263	7795	433178	3311847	31481	31481	31029	0.9856421333502747	0.9856421333502747	106713
Hrs.ref_sa	scaffold_12	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	50722	19048	213	0	36	213.0	529.1111111111111	2	3670	19048	54946.5	91568.44444444444	114	392089	3296464	19261	19261	19048	0.9889413841441255	0.9889413841441255	136523
Hrs.ref_sa	scaffold_13	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	42262	17121	296	0	37	107	462.72972972972974	4	2380	17121	53524	74136.86486486487	976	382885	2743064	17417	17417	17121	0.9830051099500487	0.9830051099500487	69350
Hrs.ref_sa	scaffold_14	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	54923	17239	354	0	50	190.0	344.78	2	1950	17239	23600.5	38107.82	5	285048	1905391	17593	17593	17239	0.9798783607116467	0.9798783607116467	0
Hrs.ref_sa	scaffold_15	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	36907	13849	103	0	27	137	512.925925925926	2	2847	13849	60118	118422.0	4001	470884	3197394	13952	13952	13849	0.9926175458715596	0.9926175458715596	181383
Hrs.ref_sa	scaffold_16	Hrs.varSNPs.biallpass.filtered.phased.vcf.gz	35999	12355	152	0	35	218	353.0	7	1691	12355	51005	80123.4857142857	1839	355105	2804322	12507	12507	12355	0.9878468057887583	0.9878468057887583	90453
