scaffold,start,end,mid,sites,pi_Hrs1,pi_Hrs2,dxy_Hrs1_Hrs2,Fst_Hrs1_Hrs2
scaffold_1,29572,80274,49845,25000,0.001359,0.001296,0.001228,-0.040428
scaffold_1,80275,105733,93056,25000,0.001185,0.001407,0.002076,0.225441
scaffold_1,105734,130981,118317,25000,0.00175,0.001749,0.001652,-0.029891
scaffold_1,130982,165082,146691,25000,0.001396,0.001336,0.001269,-0.040204
scaffold_1,165083,221195,197218,25000,0.003232,0.001819,0.002952,0.061792
scaffold_1,221196,246357,233797,25000,0.002224,0.002141,0.002077,-0.025752
scaffold_1,246358,277460,260593,25000,0.002503,0.002094,0.003102,0.153429
scaffold_1,277461,306205,291242,25000,0.00142,0.001418,0.001329,-0.034062
scaffold_1,306206,351372,334392,25000,0.002758,0.002787,0.002576,-0.0382
scaffold_1,351373,380422,366370,25000,0.002741,0.002821,0.002716,-0.012207
scaffold_1,380423,409251,393411,25000,0.00124,0.001169,0.001122,-0.036684
scaffold_1,409252,434315,421788,25000,0.001876,0.001851,0.001867,0.000903
scaffold_1,434316,460088,446936,25000,0.002398,0.002388,0.002222,-0.038429
scaffold_1,460089,525288,479955,25000,0.005444,0.005317,0.004996,-0.038454
scaffold_1,525289,558247,540586,25000,0.001441,0.001441,0.001338,-0.038458
scaffold_1,558248,583465,570908,25000,0.001873,0.001928,0.001794,-0.030111
scaffold_1,583466,699297,629665,25000,0.001949,0.001968,0.004496,0.401892
scaffold_1,699298,733611,715785,25000,0.003616,0.002325,0.004072,0.161354
scaffold_1,733612,777482,752062,25000,0.003301,0.002816,0.003665,0.094887
scaffold_1,777483,803652,790489,25000,0.001816,0.001944,0.001871,-0.002492
scaffold_1,803653,828837,816266,25000,0.001767,0.001957,0.001842,-0.005541
scaffold_1,828838,876556,856188,25000,0.002024,0.001992,0.001868,-0.037521
scaffold_1,876557,926427,911377,25000,0.003375,0.002091,0.002758,0.004789
scaffold_1,926428,951628,939072,25000,0.001706,0.001706,0.001584,-0.038406
scaffold_1,951629,979533,965934,25000,0.003142,0.003296,0.002979,-0.040321
scaffold_1,979534,1009855,993845,25000,0.004223,0.004823,0.004386,-0.015905
scaffold_1,1009856,1041538,1026803,25000,0.004054,0.004735,0.00408,-0.038583
scaffold_1,1041539,1077405,1056299,25000,0.006334,0.006995,0.006165,-0.039859
scaffold_1,1077406,1109262,1092842,25000,0.002316,0.002157,0.002085,-0.036386
scaffold_1,1109264,1136153,1122499,25000,0.003012,0.00283,0.002737,-0.033786
scaffold_1,1136154,1162205,1149272,25000,0.005301,0.005403,0.004979,-0.037541
scaffold_1,1162206,1187883,1175090,25000,0.001898,0.001898,0.00174,-0.045451
scaffold_1,1187884,1213844,1200798,25000,0.005731,0.005155,0.005076,-0.036235
scaffold_1,1213845,1240545,1227123,25000,0.005236,0.006375,0.005291,-0.047124
scaffold_1,1240546,1269383,1254796,25000,0.005942,0.006241,0.005791,-0.026291
scaffold_1,1269384,1322706,1291351,25000,0.001727,0.001862,0.001682,-0.033591
scaffold_1,1322707,1356392,1339139,25000,0.002055,0.002899,0.002339,-0.029753
scaffold_1,1356393,1396451,1373261,25000,0.001626,0.001818,0.001597,-0.039142
scaffold_1,1396452,1446813,1426779,25000,0.001613,0.001667,0.001526,-0.037373
scaffold_1,1446814,1476741,1462913,25000,0.001301,0.001242,0.001506,0.087287
scaffold_1,1476742,1505953,1490692,25000,0.002192,0.002028,0.002015,-0.023674
scaffold_1,1505954,1592741,1569520,25000,0.002211,0.002019,0.002654,0.116686
scaffold_1,1592742,1620553,1606862,25000,0.002107,0.0024,0.003215,0.17968
scaffold_1,1620554,1655608,1635680,25000,0.001112,0.00108,0.001055,-0.019529
scaffold_1,1655609,1691883,1668473,25000,0.0032,0.002832,0.003942,0.133429
scaffold_1,1691884,1721909,1706911,25000,0.003211,0.003178,0.00305,-0.024013
scaffold_1,1721910,1748321,1735524,25000,0.001454,0.00142,0.001334,-0.038607
scaffold_1,1748322,1773712,1760940,25000,0.00125,0.001639,0.00141,-0.012553
scaffold_1,1773713,1799271,1786372,25000,0.001534,0.001524,0.00178,0.078442
scaffold_1,1799272,1828713,1815997,25000,0.001719,0.001703,0.001589,-0.038281
scaffold_1,1828714,1868179,1843947,25000,0.001663,0.001531,0.001641,0.013946
scaffold_1,1868180,1928779,1895989,25000,0.00178,0.002519,0.002019,-0.046701
scaffold_1,1928781,1991310,1955663,25000,0.001084,0.001308,0.001154,-0.02626
scaffold_1,1991311,2036872,2020027,25000,0.001395,0.001461,0.001351,-0.030498
scaffold_1,2036873,2062426,2049623,25000,0.001706,0.001616,0.002149,0.133617
scaffold_1,2062427,2106794,2084244,25000,0.002958,0.003523,0.004579,0.176368
scaffold_1,2106795,2140121,2119770,25000,0.001871,0.001953,0.001978,0.017335
scaffold_1,2140122,2166180,2153243,25000,0.001376,0.00115,0.001285,0.008843
scaffold_1,2166181,2193135,2179488,25000,0.001312,0.001191,0.001161,-0.038905
scaffold_1,2193136,2221270,2207846,25000,0.002974,0.002164,0.004167,0.250183
scaffold_1,2221271,2248694,2235297,25000,0.002197,0.001643,0.002122,0.051723
scaffold_1,2248695,2275091,2262097,25000,0.00364,0.003623,0.003505,-0.018416
scaffold_1,2275092,2301952,2288541,25000,0.001896,0.00133,0.00152,-0.030873
scaffold_1,2301953,2327540,2314779,25000,0.001124,0.001016,0.000996,-0.037229
scaffold_1,2327541,2353211,2340337,25000,0.001414,0.001464,0.001341,-0.036787
scaffold_1,2353212,2381859,2368013,25000,0.002407,0.003443,0.002925,0.001931
scaffold_1,2381860,2407194,2394512,25000,0.001968,0.002274,0.001977,-0.03649
scaffold_1,2407195,2463112,2428614,25000,0.001724,0.001615,0.001861,0.056235
scaffold_1,2463113,2495306,2478799,25000,0.001269,0.001563,0.002251,0.234244
scaffold_1,2495307,2666750,2629676,25000,0.002231,0.00231,0.002171,-0.024489
scaffold_1,2666751,2723316,2708128,25000,0.002088,0.002567,0.003539,0.209177
scaffold_1,2723317,2750548,2736661,25000,0.00321,0.004847,0.005506,0.148204
scaffold_1,2750549,2851657,2812344,25000,0.001502,0.001509,0.001569,0.020858
scaffold_1,2851658,2877532,2864607,25000,0.001169,0.001107,0.001057,-0.03817
scaffold_1,2877533,2915767,2901087,25000,0.001238,0.001139,0.001097,-0.044983
scaffold_1,2915768,2964846,2942411,25000,0.00144,0.001682,0.001518,-0.008393
scaffold_1,2964848,3013191,2984852,25000,0.001714,0.001872,0.001805,0.003388
scaffold_1,3013192,3059041,3037806,25000,0.003234,0.003506,0.003629,0.031274
scaffold_1,3059042,3114538,3080313,25000,0.001236,0.00122,0.003689,0.509551
