scaffold,start,end,mid,sites,pi_Ppr1,pi_Ppr2,dxy_Ppr1_Ppr2,Fst_Ppr1_Ppr2
chr1,55460,92044,74762,25000,0.002673,0.00384,0.012818,0.605032
chr1,92045,122009,106364,25000,0.003699,0.004828,0.012724,0.508699
chr1,122010,148226,134787,25000,0.004582,0.003641,0.013279,0.537728
chr1,148228,191967,176683,25000,0.004239,0.002259,0.009164,0.487167
chr1,191968,221238,207018,25000,0.004651,0.003643,0.012416,0.50974
chr1,221239,256098,238853,25000,0.002481,0.002809,0.008264,0.525688
chr1,256099,297229,279556,25000,0.002786,0.003958,0.011231,0.548729
chr1,297230,324221,311012,25000,0.003539,0.002623,0.00747,0.426384
chr1,324222,349709,336995,25000,0.002028,0.001666,0.001959,0.0307
chr1,349710,375035,362385,25000,0.001862,0.002045,0.002131,0.045127
chr1,375036,400368,387692,25000,0.002293,0.002019,0.003708,0.273059
chr1,400369,425683,413029,25000,0.001843,0.002226,0.002462,0.09886
chr1,425684,451250,438455,25000,0.002374,0.002517,0.002843,0.078127
chr1,451251,476775,463988,25000,0.003102,0.002733,0.007179,0.432469
chr1,476776,504141,490044,25000,0.003636,0.002843,0.005504,0.267263
chr1,504142,530866,517360,25000,0.004603,0.00267,0.007301,0.344598
chr1,530867,559775,545628,25000,0.003166,0.003166,0.010304,0.540509
chr1,559776,598960,577687,25000,0.002927,0.002756,0.011857,0.623411
chr1,598961,630930,616314,25000,0.002399,0.003612,0.007124,0.416897
chr1,630931,662916,646494,25000,0.002097,0.00348,0.003888,0.169264
chr1,662917,690882,677424,25000,0.004231,0.004062,0.013775,0.547835
chr1,690883,719075,704227,25000,0.004356,0.005918,0.011341,0.386531
chr1,719076,746581,732895,25000,0.002921,0.004431,0.007969,0.378605
chr1,746582,774460,760960,25000,0.003729,0.004248,0.013435,0.552708
chr1,774461,801801,788470,25000,0.003413,0.003877,0.013906,0.594945
chr1,801802,833500,816502,25000,0.003468,0.003533,0.011849,0.554455
chr1,833501,871696,854943,25000,0.003133,0.00215,0.007618,0.49564
chr1,871697,903326,886727,25000,0.003727,0.003342,0.015726,0.642841
chr1,903327,929594,916439,25000,0.00665,0.005867,0.018386,0.502715
chr1,929595,958053,943939,25000,0.003358,0.002378,0.008654,0.512811
chr1,958054,986849,973249,25000,0.003903,0.002933,0.013795,0.612978
chr1,986850,1014805,1000796,25000,0.002891,0.003644,0.008424,0.451531
chr1,1014806,1042708,1028940,25000,0.00332,0.004544,0.015441,0.604304
chr1,1042710,1070954,1056795,25000,0.005211,0.005007,0.011629,0.399688
chr1,1070955,1098464,1084303,25000,0.003354,0.004933,0.009939,0.42189
chr1,1098465,1125539,1112539,25000,0.003232,0.003066,0.015087,0.664223
chr1,1125540,1153117,1139007,25000,0.003496,0.003702,0.015889,0.640506
chr1,1153118,1183197,1169547,25000,0.005527,0.004288,0.016355,0.548963
chr1,1183198,1210686,1197257,25000,0.004899,0.005916,0.017233,0.532917
chr1,1210687,1237341,1223949,25000,0.003482,0.004494,0.014214,0.57228
chr1,1237342,1266824,1252348,25000,0.003587,0.003792,0.015343,0.622331
chr1,1266825,1294455,1280378,25000,0.003509,0.00359,0.017654,0.674602
chr1,1294456,1320458,1307575,25000,0.003539,0.00369,0.006979,0.326904
chr1,1320459,1527609,1445751,25000,0.004257,0.005429,0.008803,0.299021
chr1,1527610,1553626,1540546,25000,0.001791,0.001433,0.002135,0.144816
chr1,1553627,1598562,1566718,25000,0.003522,0.003817,0.006665,0.29862
chr1,1598563,1624718,1611877,25000,0.003154,0.001861,0.008365,0.549317
chr1,1624719,1650292,1637536,25000,0.002915,0.003141,0.0079,0.456389
chr1,1650293,1677514,1663992,25000,0.005329,0.004373,0.017297,0.572386
chr1,1677515,1714039,1694227,25000,0.003451,0.002692,0.013551,0.640292
chr1,1714040,1748782,1734128,25000,0.003728,0.00476,0.017415,0.618185
chr1,1748783,1780080,1763737,25000,0.003421,0.003889,0.00681,0.310526
chr1,1780081,1806743,1793348,25000,0.004372,0.004462,0.009811,0.389195
