#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
Sms.ref_sa	scaffold_1	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	447529	176690	8166	0	398	182.5	443.94472361809045	2	4919	176690	32353.0	63251.778894472365	14	1114475	25174208	184856	184856	176690	0.9558250746527026	0.9558250746527026	71244
Sms.ref_sa	scaffold_2	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	420325	172639	8072	0	333	314	518.4354354354355	2	5924	172639	31831	62763.87987987988	11	792946	20900372	180711	180711	172639	0.9553319941785503	0.9553319941785503	78077
Sms.ref_sa	scaffold_3	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	312850	134599	5369	0	277	141	485.91696750902526	2	8313	134599	27583	73865.82078853047	5	935190	20608564	139968	139968	134599	0.9616412322816644	0.9616412322816644	109820
Sms.ref_sa	scaffold_4	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	391548	140190	8120	0	286	234.0	490.1748251748252	2	5157	140190	26876.0	65166.895104895106	12	1046789	18637732	148310	148310	140190	0.945249814577574	0.945249814577574	78127
Sms.ref_sa	scaffold_5	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	366652	144542	6329	0	255	302	566.8313725490196	2	6770	144542	35212.5	73502.55078125	201	1113431	18816653	150871	150871	144542	0.958050254853484	0.958050254853484	104938
Sms.ref_sa	scaffold_6	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	295598	127155	4984	1	274	275.0	464.06934306569343	2	3688	127155	36165	67870.13818181818	18	819133	18664288	132140	132140	127155	0.9622748599969729	0.9622748599969729	97729
Sms.ref_sa	scaffold_7	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	312158	124483	5654	0	277	228	449.3971119133574	2	4796	124483	28824.0	57214.07913669065	23	804104	15905514	130137	130137	124483	0.9565534782575286	0.9565534782575286	71286
Sms.ref_sa	scaffold_8	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	261410	115863	4951	0	193	322	600.3264248704663	2	4773	115863	42188	81129.77720207254	162	778208	15658047	120814	120814	115863	0.9590196500405582	0.9590196500405582	123246
Sms.ref_sa	scaffold_9	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	196061	92143	3583	0	131	370	703.3816793893129	2	5658	92143	57034	113369.90839694657	1215	1031576	14851458	95726	95726	92143	0.962570252595951	0.962570252595951	218058
Sms.ref_sa	scaffold_10	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1120	375	5	0	3	22	125.0	3	350	375	10375	27478.666666666668	300	71761	82436	380	380	375	0.9868421052631579	0.9868421052631579	0
Sms.ref_sa	scaffold_11	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1985	602	15	0	7	72	86.0	4	239	602	7141	7425.0	1491	19653	51975	617	617	602	0.9756888168557536	0.9756888168557536	0
Sms.ref_sa	scaffold_13	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1950	69	2	0	1	69	69.0	69	69	69	28226	28226.0	28226	28226	28226	71	71	69	0.971830985915493	0.971830985915493	0
Sms.ref_sa	scaffold_14	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	4149	1969	114	0	5	379	393.8	61	679	1969	15716	29423.4	9633	60577	147117	2083	2083	1969	0.9452712433989439	0.9452712433989439	0
Sms.ref_sa	scaffold_15	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1267	232	1	0	3	10	77.33333333333333	4	218	232	23407	18137.0	4427	26577	54411	233	233	232	0.9957081545064378	0.9957081545064378	0
Sms.ref_sa	scaffold_16	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	2449	1334	49	0	6	181.0	222.33333333333334	53	488	1334	10586.5	9667.833333333334	2756	16819	58007	1383	1383	1334	0.9645697758496024	0.9645697758496024	0
Sms.ref_sa	scaffold_17	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	3667	1313	82	0	6	98.0	218.83333333333334	8	627	1313	15899.0	15225.333333333334	2073	27787	91352	1395	1395	1313	0.9412186379928316	0.9412186379928316	0
Sms.ref_sa	scaffold_18	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	703	261	3	0	3	61	87.0	9	191	261	5410	9193.666666666666	1096	21075	27581	264	264	261	0.9886363636363636	0.9886363636363636	0
Sms.ref_sa	scaffold_19	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1940	544	16	0	5	13	108.8	2	376	544	8700	16184.6	49	52625	80923	560	560	544	0.9714285714285714	0.9714285714285714	0
Sms.ref_sa	scaffold_20	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	710	232	20	0	3	84	77.33333333333333	30	118	232	8678	8550.666666666666	5540	11434	25652	252	252	232	0.9206349206349206	0.9206349206349206	0
Sms.ref_sa	scaffold_21	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	592	0	21	0	0	nan	nan	0	0	0	nan	nan	0	0	0	21	21	0	0.0	0.0	nan
Sms.ref_sa	scaffold_22	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	542	56	17	0	2	28.0	28.0	25	31	56	2420.5	2420.5	1671	3170	4841	73	73	56	0.7671232876712328	0.7671232876712328	0
Sms.ref_sa	scaffold_23	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	992	486	13	0	2	243.0	243.0	162	324	486	10860.5	10860.5	5961	15760	21721	499	499	486	0.9739478957915831	0.9739478957915831	0
Sms.ref_sa	scaffold_24	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	449	178	10	0	1	178	178.0	178	178	178	49656	49656.0	49656	49656	49656	188	188	178	0.9468085106382979	0.9468085106382979	0
Sms.ref_sa	scaffold_25	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1772	397	133	0	3	109	132.33333333333334	95	193	397	4041	3899.3333333333335	3187	4470	11698	530	530	397	0.7490566037735849	0.7490566037735849	0
Sms.ref_sa	scaffold_26	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	110	52	0	0	1	52	52.0	52	52	52	1087	1087.0	1087	1087	1087	52	52	52	1.0	1.0	0
Sms.ref_sa	scaffold_27	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	2096	890	34	0	3	219	296.6666666666667	15	656	890	8925	21141.0	3285	51213	63423	924	924	890	0.9632034632034632	0.9632034632034632	0
Sms.ref_sa	scaffold_28	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	2137	845	20	0	3	375	281.6666666666667	62	408	845	41443	37082.333333333336	4903	64901	111247	865	865	845	0.976878612716763	0.976878612716763	41443
Sms.ref_sa	scaffold_29	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	2018	883	0	0	5	147	176.6	2	401	883	6050	4671.2	22	8054	23356	883	883	883	1.0	1.0	0
Sms.ref_sa	scaffold_30	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1679	233	8	0	3	78	77.66666666666667	69	86	233	5057	15070.333333333334	4489	35665	45211	241	241	233	0.966804979253112	0.966804979253112	0
Sms.ref_sa	scaffold_31	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	152	100	1	0	1	100	100.0	100	100	100	10955	10955.0	10955	10955	10955	101	101	100	0.9900990099009901	0.9900990099009901	0
Sms.ref_sa	scaffold_32	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1283	164	3	0	2	82.0	82.0	9	155	164	3942.5	3942.5	2705	5180	7885	167	167	164	0.9820359281437125	0.9820359281437125	0
Sms.ref_sa	scaffold_33	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1303	715	2	0	2	357.5	357.5	218	497	715	37972.0	37972.0	35995	39949	75944	717	717	715	0.99721059972106	0.99721059972106	35995
Sms.ref_sa	scaffold_34	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	639	210	1	0	3	67	70.0	3	140	210	8743	9178.0	68	18723	27534	211	211	210	0.995260663507109	0.995260663507109	0
Sms.ref_sa	scaffold_35	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1821	852	12	0	3	274	284.0	241	337	852	13505	18698.333333333332	11583	31007	56095	864	864	852	0.9861111111111112	0.9861111111111112	0
Sms.ref_sa	scaffold_36	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	1564	441	57	0	2	220.5	220.5	10	431	441	40591.5	40591.5	30360	50823	81183	498	498	441	0.8855421686746988	0.8855421686746988	30360
Sms.ref_sa	scaffold_37	Sms.varSNPs.biallpass.filtered.phased.vcf.gz	444	41	42	0	1	41	41.0	41	41	41	10928	10928.0	10928	10928	10928	83	83	41	0.4939759036144578	0.4939759036144578	0
