#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
Ass.ref_sa	scaffold_1	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	197642	92052	3050	0	191	169	481.9476439790576	2	9083	92052	27361	66039.12041884816	11	1036939	12613472	95102	95102	92052	0.9679291707850518	0.9679291707850518	79995
Ass.ref_sa	scaffold_2	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	140489	70629	3246	0	196	145.0	360.3520408163265	2	3997	70629	27610.0	57476.5306122449	1	435858	11265400	73875	73875	70629	0.9560609137055838	0.9560609137055838	66947
Ass.ref_sa	scaffold_3	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	146701	73606	3670	0	169	209	435.53846153846155	2	4312	73606	37054	64173.976331360944	93	366009	10845402	77276	77276	73606	0.9525078937833221	0.9525078937833221	78088
Ass.ref_sa	scaffold_4	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	140661	78686	2897	0	158	196.5	498.0126582278481	2	3573	78686	30502.0	65437.86075949367	21	487629	10339182	81583	81583	78686	0.9644901511344275	0.9644901511344275	95443
Ass.ref_sa	scaffold_5	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	196450	74847	2439	0	137	260	546.3284671532847	2	3975	74847	33361	69495.83211678833	12	670374	9520929	77286	77286	74847	0.9684418911575188	0.9684418911575188	86013
Ass.ref_sa	scaffold_6	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	135023	61298	3320	1	182	124.5	336.8021978021978	2	3169	61298	27536.0	48905.07142857143	3	363793	8900723	64619	64619	61298	0.9486064470202262	0.9486064470202262	49507
Ass.ref_sa	scaffold_7	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	108357	54071	2454	0	142	190.0	380.78169014084506	2	2930	54071	29415.0	58758.33098591549	87	543429	8343683	56525	56525	54071	0.9565855816010614	0.9565855816010614	66441
Ass.ref_sa	scaffold_8	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	96470	61726	1799	0	110	275.0	561.1454545454545	2	4946	61726	53788.5	89052.16363636364	1	804247	9795738	63525	63525	61726	0.9716804407713499	0.9716804407713499	131444
Ass.ref_sa	scaffold_9	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	116457	61354	2183	0	148	164.5	414.55405405405406	2	2626	61354	29113.0	57713.84459459459	1	309037	8541649	63537	63537	61354	0.965642066827203	0.965642066827203	77872
Ass.ref_sa	scaffold_10	Ass.varSNPs.biallpass.filtered.phased.vcf.gz	815	307	0	0	5	29	61.4	2	141	307	2940	6806.8	318	17095	34034	307	307	307	1.0	1.0	0
