scaffold,start,end,mid,sites,pi_Ass1,pi_Ass2,dxy_Ass1_Ass2,Fst_Ass1_Ass2
scaffold_1,16636,85211,49503,25000,0.000724,0.000713,0.000703,-0.011589
scaffold_1,85212,112389,98523,25000,0.001346,0.001494,0.001635,0.072728
scaffold_1,112390,150217,131094,25000,0.001469,0.001384,0.001736,0.101178
scaffold_1,150218,190087,165443,25000,0.001616,0.001669,0.002375,0.182555
scaffold_1,190088,236356,218981,25000,0.002068,0.002133,0.009017,0.625105
scaffold_1,236357,263690,249804,25000,0.001734,0.001636,0.008107,0.664049
scaffold_1,263691,298509,280850,25000,0.002079,0.00183,0.003052,0.225453
scaffold_1,298510,327961,313067,25000,0.001338,0.001286,0.001268,-0.017589
scaffold_1,327962,373831,348138,25000,0.002252,0.001641,0.005938,0.511627
scaffold_1,373832,399880,387019,25000,0.001746,0.001681,0.004891,0.490168
scaffold_1,399881,431083,414543,25000,0.00185,0.002035,0.004233,0.377308
scaffold_1,431084,473459,454344,25000,0.001637,0.001652,0.001601,-0.013689
scaffold_1,473460,525697,501364,25000,0.001469,0.001563,0.001407,-0.038577
scaffold_1,525698,564485,541587,25000,0.001687,0.001693,0.001559,-0.041882
scaffold_1,564486,593379,579932,25000,0.001789,0.001789,0.001662,-0.038444
scaffold_1,593380,619340,606425,25000,0.001628,0.00163,0.001512,-0.038711
scaffold_1,619341,651804,635674,25000,0.001596,0.00162,0.001495,-0.037891
scaffold_1,651805,682050,665351,25000,0.001126,0.001143,0.001053,-0.038931
scaffold_1,682051,728428,704648,25000,0.00154,0.001469,0.001403,-0.036235
scaffold_1,728429,763913,745917,25000,0.002037,0.002002,0.003105,0.218073
scaffold_1,763914,800180,779382,25000,0.002017,0.001873,0.002293,0.084855
scaffold_1,800181,830354,814695,25000,0.002236,0.002226,0.002073,-0.038123
scaffold_1,830355,860715,844854,25000,0.001894,0.001895,0.003451,0.29873
scaffold_1,860716,889906,875074,25000,0.001891,0.002024,0.002555,0.136625
scaffold_1,889907,922067,905522,25000,0.002006,0.002254,0.001996,-0.033667
scaffold_1,922068,957128,939267,25000,0.00183,0.001946,0.002197,0.078139
scaffold_1,957129,992005,972550,25000,0.001935,0.001903,0.001789,-0.036316
scaffold_1,992006,1051172,1023972,25000,0.001862,0.002154,0.006074,0.504406
scaffold_1,1051173,1091867,1068934,25000,0.002956,0.002654,0.002795,-0.006103
scaffold_1,1091868,1158071,1120019,25000,0.002509,0.002478,0.00356,0.177808
scaffold_1,1158072,1206266,1186121,25000,0.003419,0.002778,0.003747,0.097871
scaffold_1,1206267,1260484,1235268,25000,0.00252,0.002694,0.003118,0.090582
scaffold_1,1260485,1294139,1277477,25000,0.002018,0.002035,0.002121,0.023635
scaffold_1,1294141,1386942,1337367,25000,0.002547,0.001525,0.004897,0.419056
scaffold_1,1386943,1414367,1400649,25000,0.007075,0.002415,0.010074,0.365677
scaffold_1,1414368,1458499,1441164,25000,0.003249,0.003474,0.003743,0.053967
scaffold_1,1458500,1541888,1485340,25000,0.003922,0.001707,0.004919,0.279428
scaffold_1,1541889,1620526,1591995,25000,0.002738,0.002054,0.002915,0.099126
scaffold_1,1620527,1653538,1638600,25000,0.00231,0.001506,0.003602,0.316488
scaffold_1,1653539,1705152,1679431,25000,0.002311,0.002309,0.002366,0.012307
scaffold_1,1705153,1731544,1718283,25000,0.00171,0.001788,0.001637,-0.034383
scaffold_1,1731545,1762160,1746550,25000,0.001207,0.001223,0.001129,-0.038454
scaffold_1,1762161,1798624,1779763,25000,0.001315,0.001496,0.001309,-0.036944
scaffold_1,1798625,1860344,1833390,25000,0.002428,0.00245,0.003499,0.183735
scaffold_1,1860345,1891823,1874748,25000,0.002503,0.002281,0.003893,0.242946
scaffold_1,1891824,1924488,1908076,25000,0.003381,0.003155,0.003264,-0.003296
scaffold_1,1924489,1985589,1960820,25000,0.001715,0.002039,0.002568,0.151942
scaffold_1,1985590,2039941,2013162,25000,0.001483,0.00219,0.002116,0.060171
scaffold_1,2039942,2080779,2058408,25000,0.002066,0.002606,0.00245,0.024567
scaffold_1,2080780,2118707,2100422,25000,0.002121,0.002458,0.00241,0.026634
scaffold_1,2118708,2147771,2133203,25000,0.001826,0.002016,0.003622,0.312511
scaffold_1,2147772,2177130,2163605,25000,0.001396,0.001398,0.001527,0.046105
scaffold_1,2177131,2205878,2192096,25000,0.003103,0.002997,0.007144,0.410381
scaffold_1,2205879,2236015,2221351,25000,0.004606,0.002972,0.013771,0.577375
scaffold_1,2236016,2286947,2263451,25000,0.004202,0.003694,0.006098,0.222613
scaffold_1,2286948,2317114,2301046,25000,0.002633,0.002549,0.006077,0.41071
scaffold_1,2317115,2348979,2333535,25000,0.001283,0.001071,0.001134,-0.026463
scaffold_1,2348980,2380885,2365734,25000,0.002167,0.001991,0.002337,0.060237
scaffold_1,2380886,2406690,2393704,25000,0.00205,0.001656,0.004666,0.442303
scaffold_1,2406691,2455525,2427923,25000,0.002713,0.002211,0.0024,-0.013248
scaffold_1,2455526,2481621,2468470,25000,0.001954,0.001991,0.002159,0.046055
scaffold_1,2481622,2517421,2501238,25000,0.004173,0.005313,0.008209,0.272775
scaffold_1,2517422,2543439,2530421,25000,0.003676,0.004342,0.005001,0.113632
scaffold_1,2543440,2573663,2558841,25000,0.002287,0.002451,0.003948,0.256818
scaffold_1,2573664,2610105,2590585,25000,0.002103,0.001983,0.001913,-0.034148
scaffold_1,2610106,2636291,2623220,25000,0.001019,0.001019,0.000947,-0.03846
scaffold_1,2636292,2662705,2649377,25000,0.001272,0.001271,0.001181,-0.038446
scaffold_1,2662706,2716665,2697237,25000,0.001545,0.001527,0.001428,-0.037766
scaffold_1,2716668,2742268,2729417,25000,0.001249,0.001249,0.00116,-0.03846
scaffold_1,2742269,2768446,2755348,25000,0.001335,0.001344,0.001248,-0.036757
scaffold_1,2768447,2798579,2784389,25000,0.002698,0.002456,0.002432,-0.030213
scaffold_1,2798580,2826499,2813477,25000,0.001749,0.001855,0.001707,-0.028194
scaffold_1,2826500,2852440,2839277,25000,0.003039,0.002926,0.003086,0.016259
scaffold_1,2852441,2889786,2872166,25000,0.003838,0.004141,0.003861,-0.016962
scaffold_1,2889787,2917673,2903474,25000,0.003832,0.003491,0.007283,0.336817
scaffold_1,2917674,2955977,2935778,25000,0.001914,0.002391,0.002012,-0.025767
scaffold_1,2955978,2983749,2969377,25000,0.002175,0.001978,0.001969,-0.027955
scaffold_1,2983750,3020458,3003857,25000,0.001849,0.001699,0.002714,0.218538
scaffold_1,3020459,3047151,3033755,25000,0.001966,0.002127,0.001911,-0.035648
scaffold_1,3047152,3080900,3066531,25000,0.001975,0.002262,0.002667,0.118348
scaffold_1,3080901,3107807,3094814,25000,0.002286,0.002256,0.002261,-0.002283
scaffold_1,3107808,3134112,3120702,25000,0.002893,0.002906,0.003863,0.147037
scaffold_1,3134113,3200721,3159496,25000,0.001416,0.001916,0.001654,-0.003718
scaffold_1,3200722,3226741,3213661,25000,0.001703,0.001583,0.003065,0.309853
scaffold_1,3226742,3255664,3240627,25000,0.001599,0.001772,0.001875,0.055119
scaffold_1,3255665,3295279,3279784,25000,0.001204,0.001521,0.001867,0.161194
scaffold_1,3295280,3322033,3308293,25000,0.002191,0.002285,0.002673,0.091646
scaffold_1,3322034,3351640,3336888,25000,0.001318,0.001218,0.001786,0.170601
scaffold_1,3351641,3386349,3368632,25000,0.001346,0.001278,0.001256,-0.022659
scaffold_1,3386350,3460208,3416140,25000,0.001279,0.001104,0.001321,0.054413
scaffold_1,3460209,3508441,3488162,25000,0.001588,0.001914,0.002077,0.093583
scaffold_1,3508442,3547616,3527675,25000,0.002076,0.002159,0.002043,-0.018415
scaffold_1,3547617,3598805,3577903,25000,0.002076,0.002615,0.002195,-0.034421
scaffold_1,3598807,3629917,3613738,25000,0.001912,0.002019,0.001825,-0.03849
scaffold_1,3629918,3658985,3642978,25000,0.00147,0.001467,0.001364,-0.038191
scaffold_1,3658986,3684897,3671914,25000,0.003558,0.003612,0.0035,-0.012977
scaffold_1,3684898,3732878,3710655,25000,0.001303,0.00149,0.001307,-0.045834
