scaffold,start,end,mid,sites,pi_Hti
scaffold_1,3462,30572,17099,25000,0.005357
scaffold_1,30573,63878,48386,25000,0.005167
scaffold_1,63879,91328,77736,25000,0.007794
scaffold_1,91329,119116,105129,25000,0.003536
scaffold_1,119117,149899,135677,25000,0.005541
scaffold_1,149900,196595,169841,25000,0.006159
scaffold_1,196596,236015,217042,25000,0.004464
scaffold_1,236016,266279,250257,25000,0.002796
scaffold_1,266280,293688,279780,25000,0.003513
scaffold_1,293689,340342,310701,25000,0.003564
scaffold_1,340343,367828,353957,25000,0.004027
scaffold_1,367829,396536,382346,25000,0.005167
scaffold_1,396537,424230,409885,25000,0.004466
scaffold_1,424231,451676,438046,25000,0.003416
scaffold_1,451678,478930,465225,25000,0.00444
scaffold_1,478931,506865,492860,25000,0.003949
scaffold_1,506866,535412,520745,25000,0.005729
scaffold_1,535413,572867,558139,25000,0.005919
scaffold_1,572868,601183,586685,25000,0.00972
scaffold_1,601184,628742,615100,25000,0.006159
scaffold_1,628743,672032,642491,25000,0.006334
scaffold_1,672033,699286,685456,25000,0.01027
scaffold_1,699287,730661,714381,25000,0.007464
scaffold_1,730664,758234,744370,25000,0.005001
scaffold_1,758235,785420,771893,25000,0.003611
scaffold_1,785421,823196,803067,25000,0.01133
scaffold_1,823197,854573,839417,25000,0.006081
scaffold_1,854574,883164,869005,25000,0.003809
scaffold_1,883165,911091,897109,25000,0.007034
scaffold_1,911092,943840,928543,25000,0.006924
scaffold_1,943841,970983,957642,25000,0.00692
scaffold_1,970984,999328,985697,25000,0.008604
scaffold_1,999329,1026735,1013162,25000,0.006399
scaffold_1,1026736,1054406,1040660,25000,0.006749
scaffold_1,1054407,1088284,1070219,25000,0.011836
scaffold_1,1088285,1125737,1109163,25000,0.006334
scaffold_1,1125738,1153629,1140034,25000,0.005904
scaffold_1,1153630,1181602,1167244,25000,0.008873
scaffold_1,1181603,1216109,1199556,25000,0.011369
scaffold_1,1216110,1243585,1229887,25000,0.008091
scaffold_1,1243586,1271994,1257943,25000,0.007621
scaffold_1,1271995,1302209,1287726,25000,0.012679
scaffold_1,1302210,1334072,1317346,25000,0.009383
scaffold_1,1334073,1361971,1348144,25000,0.010777
scaffold_1,1361972,1390733,1376107,25000,0.007111
scaffold_1,1390734,1418477,1404619,25000,0.005249
scaffold_1,1418478,1468374,1445117,25000,0.008863
scaffold_1,1468375,1499408,1482376,25000,0.0063
scaffold_1,1499409,1529085,1514323,25000,0.006747
scaffold_1,1529092,1562577,1548682,25000,0.006204
scaffold_1,1562578,1590125,1576284,25000,0.006379
scaffold_1,1590126,1619017,1604982,25000,0.004963
scaffold_1,1619018,1653538,1637797,25000,0.003276
scaffold_1,1653540,1704326,1673124,25000,0.005587
scaffold_1,1704327,1737611,1720440,25000,0.005397
scaffold_1,1737612,1765381,1751271,25000,0.00528
scaffold_1,1765382,1793177,1779350,25000,0.003664
scaffold_1,1793178,1820854,1807072,25000,0.00518
scaffold_1,1820855,1849322,1835017,25000,0.008293
scaffold_1,1849323,1879541,1864138,25000,0.006161
scaffold_1,1879542,1908354,1894213,25000,0.00523
scaffold_1,1908355,1937056,1922943,25000,0.007291
scaffold_1,1937057,1967650,1952556,25000,0.005379
scaffold_1,1967651,2004516,1989451,25000,0.005027
