scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name,species
scaffold_1,85212,112389,98523,25000,0.001346,0.001494,0.001635,0.072728,261216,scaffold_1_1,Ass
scaffold_1,112390,150217,131094,25000,0.001469,0.001384,0.001736,0.101178,261216,scaffold_1_1,Ass
scaffold_1,150218,190087,165443,25000,0.001616,0.001669,0.002375,0.182555,261216,scaffold_1_1,Ass
scaffold_1,190088,236356,218981,25000,0.002068,0.002133,0.009017,0.625105,261216,scaffold_1_1,Ass
scaffold_1,236357,263690,249804,25000,0.001734,0.001636,0.008107,0.664049,261216,scaffold_1_1,Ass
scaffold_1,263691,298509,280850,25000,0.002079,0.00183,0.003052,0.225453,261216,scaffold_1_1,Ass
scaffold_1,298510,327961,313067,25000,0.001338,0.001286,0.001268,-0.017589,261216,scaffold_1_1,Ass
scaffold_1,399881,431083,414543,25000,0.00185,0.002035,0.004233,0.377308,167432,scaffold_1_2,Ass
scaffold_1,431084,473459,454344,25000,0.001637,0.001652,0.001601,-0.013689,167432,scaffold_1_2,Ass
scaffold_1,473460,525697,501364,25000,0.001469,0.001563,0.001407,-0.038577,167432,scaffold_1_2,Ass
scaffold_1,525698,564485,541587,25000,0.001687,0.001693,0.001559,-0.041882,167432,scaffold_1_2,Ass
scaffold_1,992006,1051172,1023972,25000,0.001862,0.002154,0.006074,0.504406,324603,scaffold_1_3,Ass
scaffold_1,1051173,1091867,1068934,25000,0.002956,0.002654,0.002795,-0.006103,324603,scaffold_1_3,Ass
scaffold_1,1091868,1158071,1120019,25000,0.002509,0.002478,0.00356,0.177808,324603,scaffold_1_3,Ass
scaffold_1,1158072,1206266,1186121,25000,0.003419,0.002778,0.003747,0.097871,324603,scaffold_1_3,Ass
scaffold_1,1206267,1260484,1235268,25000,0.00252,0.002694,0.003118,0.090582,324603,scaffold_1_3,Ass
scaffold_1,1260485,1294139,1277477,25000,0.002018,0.002035,0.002121,0.023635,324603,scaffold_1_3,Ass
scaffold_1,1294141,1386942,1337367,25000,0.002547,0.001525,0.004897,0.419056,324603,scaffold_1_3,Ass
scaffold_1,1458500,1541888,1485340,25000,0.003922,0.001707,0.004919,0.279428,100167,scaffold_1_4,Ass
scaffold_1,1985590,2039941,2013162,25000,0.001483,0.00219,0.002116,0.060171,557023,scaffold_1_5,Ass
scaffold_1,2039942,2080779,2058408,25000,0.002066,0.002606,0.00245,0.024567,557023,scaffold_1_5,Ass
scaffold_1,2080780,2118707,2100422,25000,0.002121,0.002458,0.00241,0.026634,557023,scaffold_1_5,Ass
scaffold_1,2118708,2147771,2133203,25000,0.001826,0.002016,0.003622,0.312511,557023,scaffold_1_5,Ass
scaffold_1,2147772,2177130,2163605,25000,0.001396,0.001398,0.001527,0.046105,557023,scaffold_1_5,Ass
scaffold_1,2177131,2205878,2192096,25000,0.003103,0.002997,0.007144,0.410381,557023,scaffold_1_5,Ass
scaffold_1,2205879,2236015,2221351,25000,0.004606,0.002972,0.013771,0.577375,557023,scaffold_1_5,Ass
scaffold_1,2236016,2286947,2263451,25000,0.004202,0.003694,0.006098,0.222613,557023,scaffold_1_5,Ass
scaffold_1,2286948,2317114,2301046,25000,0.002633,0.002549,0.006077,0.41071,557023,scaffold_1_5,Ass
scaffold_1,2317115,2348979,2333535,25000,0.001283,0.001071,0.001134,-0.026463,557023,scaffold_1_5,Ass
scaffold_1,2348980,2380885,2365734,25000,0.002167,0.001991,0.002337,0.060237,557023,scaffold_1_5,Ass
scaffold_1,2380886,2406690,2393704,25000,0.00205,0.001656,0.004666,0.442303,557023,scaffold_1_5,Ass
scaffold_1,2406691,2455525,2427923,25000,0.002713,0.002211,0.0024,-0.013248,557023,scaffold_1_5,Ass
scaffold_1,2455526,2481621,2468470,25000,0.001954,0.001991,0.002159,0.046055,557023,scaffold_1_5,Ass
scaffold_1,2481622,2517421,2501238,25000,0.004173,0.005313,0.008209,0.272775,557023,scaffold_1_5,Ass
scaffold_1,2517422,2543439,2530421,25000,0.003676,0.004342,0.005001,0.113632,557023,scaffold_1_5,Ass
scaffold_1,2543440,2573663,2558841,25000,0.002287,0.002451,0.003948,0.256818,557023,scaffold_1_5,Ass
scaffold_1,2852441,2889786,2872166,25000,0.003838,0.004141,0.003861,-0.016962,297122,scaffold_1_6,Ass
scaffold_1,2889787,2917673,2903474,25000,0.003832,0.003491,0.007283,0.336817,297122,scaffold_1_6,Ass
scaffold_1,2917674,2955977,2935778,25000,0.001914,0.002391,0.002012,-0.025767,297122,scaffold_1_6,Ass
scaffold_1,2955978,2983749,2969377,25000,0.002175,0.001978,0.001969,-0.027955,297122,scaffold_1_6,Ass
scaffold_1,2983750,3020458,3003857,25000,0.001849,0.001699,0.002714,0.218538,297122,scaffold_1_6,Ass
scaffold_1,3020459,3047151,3033755,25000,0.001966,0.002127,0.001911,-0.035648,297122,scaffold_1_6,Ass
scaffold_1,3047152,3080900,3066531,25000,0.001975,0.002262,0.002667,0.118348,297122,scaffold_1_6,Ass
scaffold_1,3080901,3107807,3094814,25000,0.002286,0.002256,0.002261,-0.002283,297122,scaffold_1_6,Ass
scaffold_1,3107808,3134112,3120702,25000,0.002893,0.002906,0.003863,0.147037,297122,scaffold_1_6,Ass
scaffold_1,3255665,3295279,3279784,25000,0.001204,0.001521,0.001867,0.161194,117102,scaffold_1_7,Ass
scaffold_1,3295280,3322033,3308293,25000,0.002191,0.002285,0.002673,0.091646,117102,scaffold_1_7,Ass
scaffold_1,3322034,3351640,3336888,25000,0.001318,0.001218,0.001786,0.170601,117102,scaffold_1_7,Ass
scaffold_1,3351641,3386349,3368632,25000,0.001346,0.001278,0.001256,-0.022659,117102,scaffold_1_7,Ass
scaffold_1,3386350,3460208,3416140,25000,0.001279,0.001104,0.001321,0.054413,102361,scaffold_1_8,Ass
scaffold_1,3460209,3508441,3488162,25000,0.001588,0.001914,0.002077,0.093583,102361,scaffold_1_8,Ass
scaffold_1,4009986,4040425,4026503,25000,0.002666,0.002788,0.002638,-0.018963,332688,scaffold_1_9,Ass
scaffold_1,4040426,4076206,4055248,25000,0.003109,0.002884,0.002904,-0.016308,332688,scaffold_1_9,Ass
scaffold_1,4076207,4102377,4089331,25000,0.001733,0.001892,0.001914,0.028204,332688,scaffold_1_9,Ass
scaffold_1,4102378,4134425,4119756,25000,0.00127,0.001216,0.002404,0.324855,332688,scaffold_1_9,Ass
scaffold_1,4134426,4164159,4149055,25000,0.001844,0.002186,0.002222,0.050508,332688,scaffold_1_9,Ass
scaffold_1,4164160,4190538,4177651,25000,0.001668,0.001645,0.002324,0.172805,332688,scaffold_1_9,Ass
scaffold_1,4190539,4221717,4203925,25000,0.001615,0.001606,0.00152,-0.030203,332688,scaffold_1_9,Ass
scaffold_1,4221718,4251978,4238910,25000,0.001528,0.001354,0.001692,0.082802,332688,scaffold_1_9,Ass
scaffold_1,4251979,4312713,4283855,25000,0.001762,0.001422,0.002628,0.252343,332688,scaffold_1_9,Ass
scaffold_1,4312714,4347883,4328211,25000,0.001369,0.00144,0.001624,0.072903,332688,scaffold_1_9,Ass
scaffold_1,4515668,4566891,4532557,25000,0.002258,0.002169,0.002269,0.012938,522210,scaffold_1_10,Ass
scaffold_1,4566892,4610108,4583608,25000,0.002154,0.002111,0.001984,-0.037463,522210,scaffold_1_10,Ass
scaffold_1,4610109,4636235,4623265,25000,0.002074,0.00194,0.001935,-0.018971,522210,scaffold_1_10,Ass
scaffold_1,4636236,4665556,4652540,25000,0.001782,0.001843,0.00187,0.01575,522210,scaffold_1_10,Ass
scaffold_1,4665557,4713073,4694421,25000,0.002197,0.002305,0.002603,0.074972,522210,scaffold_1_10,Ass
scaffold_1,4713074,4755018,4740044,25000,0.001141,0.001674,0.001333,-0.028197,522210,scaffold_1_10,Ass
