scaffold,start,end,mid,sites,pi_Hga
chr1,15970,45289,30167,25000,0.003998
chr1,45290,79489,64530,25000,0.003333
chr1,79490,123683,103387,25000,0.006551
chr1,123684,172897,148276,25000,0.008688
chr1,172898,210708,193753,25000,0.020544
chr1,210709,242236,225965,25000,0.008469
chr1,242237,293866,278167,25000,0.003803
chr1,293867,319535,306887,25000,0.003473
chr1,319536,345827,332646,25000,0.002846
chr1,345828,373239,358799,25000,0.002574
chr1,373240,399542,386577,25000,0.003512
chr1,399543,425614,412778,25000,0.004618
chr1,425615,464811,447868,25000,0.004862
chr1,464812,491055,478072,25000,0.004347
chr1,491056,517462,504309,25000,0.005163
chr1,517463,545390,531603,25000,0.004673
chr1,545391,571167,558362,25000,0.004028
chr1,571168,596474,583707,25000,0.00169
chr1,596475,640453,610251,25000,0.0057
chr1,640454,666611,653148,25000,0.004606
chr1,666612,695060,680966,25000,0.005883
chr1,695061,720942,708167,25000,0.003358
chr1,720943,746193,733603,25000,0.002805
chr1,746194,773823,759179,25000,0.005247
chr1,773824,800840,787487,25000,0.006471
chr1,800841,833737,818001,25000,0.00377
chr1,833738,863101,848575,25000,0.004311
chr1,863102,890389,876488,25000,0.004678
chr1,890390,953029,924216,25000,0.007194
chr1,953030,980240,966569,25000,0.004915
chr1,980241,1005837,992921,25000,0.00217
chr1,1005838,1033828,1019569,25000,0.004206
chr1,1033829,1067801,1054234,25000,0.012291
chr1,1067802,1095180,1081230,25000,0.003196
chr1,1095181,1126290,1109124,25000,0.003727
chr1,1126291,1157302,1141421,25000,0.008106
chr1,1157303,1189742,1173927,25000,0.010366
chr1,1189743,1221727,1205560,25000,0.007151
chr1,1221728,1258020,1244570,25000,0.006192
chr1,1258021,1287789,1272476,25000,0.003921
chr1,1287790,1314254,1300916,25000,0.005286
chr1,1314255,1346136,1328938,25000,0.005538
chr1,1346137,1373020,1360018,25000,0.006501
chr1,1373021,1400704,1387478,25000,0.011525
chr1,1400705,1436230,1416561,25000,0.005625
chr1,1436231,1475078,1456736,25000,0.006215
chr1,1475079,1509903,1489055,25000,0.008101
chr1,1509904,1537369,1523737,25000,0.005541
chr1,1537370,1570819,1554637,25000,0.008463
chr1,1570820,1599516,1586064,25000,0.005971
chr1,1599517,1625787,1612702,25000,0.004534
chr1,1625788,1654215,1640468,25000,0.01068
chr1,1654216,1697866,1680532,25000,0.00566
chr1,1697867,1729013,1715661,25000,0.004464
chr1,1729014,1756951,1742724,25000,0.005508
chr1,1756952,1786591,1772654,25000,0.005356
chr1,1786592,1818203,1801821,25000,0.004887
chr1,1818204,1847682,1833341,25000,0.007369
chr1,1847683,1885528,1866907,25000,0.007133
chr1,1885529,1911980,1898861,25000,0.005265
chr1,1911981,1947122,1929187,25000,0.009695
chr1,1947123,1975524,1960727,25000,0.00863
chr1,1975525,2004409,1989884,25000,0.007305
chr1,2004410,2032312,2018546,25000,0.008865
chr1,2032313,2073927,2053582,25000,0.014066
chr1,2073928,2126649,2094391,25000,0.009681
chr1,2126650,2153810,2140100,25000,0.006802
chr1,2153811,2192548,2170615,25000,0.007268
chr1,2192549,2223762,2206264,25000,0.005448
chr1,2223763,2283728,2253556,25000,0.008815
chr1,2283729,2311589,2297729,25000,0.009103
chr1,2311590,2337601,2324311,25000,0.005727
chr1,2337602,2367486,2354071,25000,0.00625
chr1,2367487,2394819,2381388,25000,0.005489
chr1,2394820,2421353,2408280,25000,0.006888
chr1,2421354,2448220,2435353,25000,0.006677
chr1,2448221,2502977,2470918,25000,0.007421
chr1,2502978,2531564,2516738,25000,0.005502
chr1,2531565,2578822,2559709,25000,0.005011
chr1,2578823,2607607,2592670,25000,0.00353
chr1,2607608,2634216,2620770,25000,0.004835
chr1,2634217,2673741,2653514,25000,0.007688
chr1,2673742,2702144,2687823,25000,0.007041
chr1,2702145,2733934,2716498,25000,0.006031
chr1,2733935,2803808,2768286,25000,0.00628
chr1,2803809,2830717,2816872,25000,0.004754
chr1,2830718,2864055,2846072,25000,0.007435
chr1,2864056,2890562,2877282,25000,0.004082
chr1,2890563,2917822,2903888,25000,0.002451
chr1,2917823,2975569,2941514,25000,0.003337
chr1,2975570,3004160,2990088,25000,0.003794
chr1,3004161,3036954,3018643,25000,0.006483
chr1,3036955,3064253,3050448,25000,0.007028
chr1,3064254,3105490,3082666,25000,0.007311
chr1,3105491,3137207,3118750,25000,0.007942
chr1,3137208,3166494,3152259,25000,0.005562
chr1,3166495,3195493,3181411,25000,0.006826
chr1,3195494,3237299,3216431,25000,0.004187
chr1,3237300,3262677,3249934,25000,0.00358
chr1,3262678,3289534,3276019,25000,0.00619
chr1,3289535,3317508,3303172,25000,0.005677
chr1,3317509,3344543,3331206,25000,0.006448
chr1,3344544,3374815,3358675,25000,0.010244
chr1,3374816,3402205,3388109,25000,0.006424
chr1,3402206,3433461,3417628,25000,0.007566
chr1,3433462,3469211,3451404,25000,0.009111
chr1,3469212,3503881,3482780,25000,0.008375
chr1,3503885,3533743,3519390,25000,0.005958
chr1,3533744,3560641,3547380,25000,0.007005
chr1,3560642,3593933,3579634,25000,0.009455
chr1,3593934,3634567,3613994,25000,0.008557
chr1,3634568,3660252,3647493,25000,0.003944
chr1,3660253,3689274,3674797,25000,0.003692
chr1,3689275,3714653,3702027,25000,0.001869
chr1,3714654,3748328,3733072,25000,0.010021
chr1,3748329,3784602,3768000,25000,0.008312
chr1,3784603,3815181,3799927,25000,0.013271
chr1,3815182,3851910,3832878,25000,0.015328
chr1,3851911,3897685,3875108,25000,0.011447
chr1,3897686,3932496,3915487,25000,0.008449
chr1,3932497,3966944,3947324,25000,0.006783
chr1,3966945,4003468,3985430,25000,0.009788
chr1,4003469,4035519,4017965,25000,0.009404
chr1,4035520,4076047,4053615,25000,0.008921
chr1,4076048,4102902,4089552,25000,0.008781
chr1,4102903,4140699,4123451,25000,0.00729
chr1,4140700,4168752,4154965,25000,0.007121
chr1,4168753,4195336,4181799,25000,0.010236
chr1,4195337,4250613,4223363,25000,0.010424
chr1,4250614,4277717,4264542,25000,0.009551
chr1,4277718,4305207,4291315,25000,0.005081
chr1,4305208,4332078,4318725,25000,0.005841
chr1,4332079,4357446,4344793,25000,0.005801
chr1,4357447,4388883,4371375,25000,0.007338
chr1,4388884,4418145,4403271,25000,0.011005
chr1,4418146,4445500,4431258,25000,0.010733
chr1,4445501,4470929,4458274,25000,0.005241
chr1,4470930,4498720,4484941,25000,0.00591
chr1,4498721,4530781,4513855,25000,0.011476
chr1,4530782,4560239,4544622,25000,0.00813
chr1,4560240,4589833,4573984,25000,0.008243
chr1,4589835,4626018,4607826,25000,0.005237
chr1,4626019,4652171,4638914,25000,0.00623
chr1,4652172,4681870,4666683,25000,0.006586
chr1,4681871,4710153,4696567,25000,0.006739
chr1,4710154,4783646,4740554,25000,0.008046
chr1,4783647,4817637,4800394,25000,0.014509
chr1,4817638,4867482,4844810,25000,0.015591
chr1,4867483,4902306,4883482,25000,0.008197
chr1,4902307,4930969,4916690,25000,0.011274
chr1,4930970,4958787,4945394,25000,0.005399
chr1,4958788,4986355,4973201,25000,0.005452
chr1,4986356,5014435,5000596,25000,0.009824
chr1,5014436,5047161,5029597,25000,0.011982
chr1,5047162,5081657,5062376,25000,0.010058
chr1,5081658,5116011,5100558,25000,0.008952
chr1,5116012,5162926,5143560,25000,0.009943
chr1,5162927,5247702,5214722,25000,0.007764
chr1,5247703,5273481,5260491,25000,0.007728
chr1,5273482,5327236,5293104,25000,0.011085
chr1,5327237,5355314,5341694,25000,0.009447
chr1,5355315,5382812,5369041,25000,0.006612
chr1,5382813,5409087,5396162,25000,0.00546
chr1,5409088,5442250,5427385,25000,0.004148
chr1,5442251,5486558,5458089,25000,0.008371
chr1,5486559,5522501,5506787,25000,0.008055
chr1,5522502,5557003,5538247,25000,0.008777
chr1,5557004,5588245,5574220,25000,0.009796
chr1,5588246,5619140,5601946,25000,0.00732
chr1,5619141,5649332,5634362,25000,0.006428
chr1,5649333,5677269,5663523,25000,0.019455
chr1,5677270,5707192,5691472,25000,0.00673
chr1,5707193,5735972,5720776,25000,0.008188
chr1,5735973,5766452,5752106,25000,0.00746
chr1,5766453,5808502,5786558,25000,0.008739
chr1,5808503,5851967,5828519,25000,0.008202
chr1,5851968,5877634,5864683,25000,0.006087
chr1,5877635,5929533,5909609,25000,0.008914
chr1,5929534,5964930,5947198,25000,0.006872
chr1,5964931,5994437,5978587,25000,0.005304
chr1,5994438,6020737,6007136,25000,0.004775
chr1,6020738,6048918,6035305,25000,0.005635
chr1,6048919,6096071,6073332,25000,0.005658
chr1,6096072,6139666,6117607,25000,0.007133
chr1,6139667,6169540,6153539,25000,0.005076
chr1,6169541,6196295,6183074,25000,0.004038
chr1,6196296,6224065,6210111,25000,0.006952
chr1,6224066,6250657,6237251,25000,0.0056
chr1,6250658,6277488,6264330,25000,0.005286
chr1,6277489,6309115,6294761,25000,0.006343
chr1,6309116,6337196,6323028,25000,0.005223
chr1,6337197,6366868,6352796,25000,0.009465
chr1,6366869,6402222,6385631,25000,0.007894
chr1,6402223,6445229,6424937,25000,0.007091
chr1,6445230,6473414,6458473,25000,0.008099
chr1,6473415,6503360,6489215,25000,0.008449
chr1,6503361,6530809,6517339,25000,0.005942
chr1,6530810,6558984,6544998,25000,0.006077
chr1,6558985,6584596,6571882,25000,0.004673
chr1,6584597,6614116,6598223,25000,0.003789
chr1,6614117,6644858,6631114,25000,0.004041
chr1,6644859,6671948,6658351,25000,0.005457
chr1,6671949,6706306,6689679,25000,0.005822
chr1,6706307,6760246,6727350,25000,0.005083
chr1,6760247,6791198,6777996,25000,0.004032
chr1,6791199,6839437,6810246,25000,0.003829
chr1,6839438,6896333,6881732,25000,0.009464
chr1,6896334,6930533,6912865,25000,0.00557
chr1,6930534,6962425,6946211,25000,0.005549
chr1,6962426,7016091,6981033,25000,0.02498
chr1,7016092,7047014,7029967,25000,0.006657
chr1,7047015,7075250,7062241,25000,0.00779
chr1,7075251,7103940,7089460,25000,0.015433
chr1,7103941,7131684,7118273,25000,0.005351
chr1,7131685,7175359,7151777,25000,0.005875
chr1,7175360,7207802,7190196,25000,0.002933
chr1,7207803,7232892,7220366,25000,0.002619
chr1,7232893,7290020,7261511,25000,0.006919
chr1,7290021,7316250,7302955,25000,0.004269
chr1,7316251,7349731,7334808,25000,0.007229
chr1,7349732,7383081,7366867,25000,0.017096
chr1,7383082,7417964,7400162,25000,0.005676
chr1,7417965,7444836,7431465,25000,0.004791
chr1,7444837,7492651,7472101,25000,0.00666
chr1,7492652,7546746,7522412,25000,0.007356
chr1,7546747,7582613,7561671,25000,0.005191
chr1,7582614,7616551,7596566,25000,0.004541
chr1,7616552,7642938,7629651,25000,0.003056
chr1,7642939,7678336,7663607,25000,0.002873
chr1,7678337,7706782,7692604,25000,0.005804
chr1,7706783,7733255,7719861,25000,0.007047
chr1,7733256,7761176,7746445,25000,0.003557
chr1,7761177,7787804,7774713,25000,0.00396
chr1,7787805,7817336,7802533,25000,0.003405
chr1,7817337,7843013,7830411,25000,0.002221
chr1,7843014,7871740,7858526,25000,0.002877
chr1,7871741,7900192,7886661,25000,0.002833
chr1,7900193,7932707,7915758,25000,0.003427
chr1,7932708,7961802,7947212,25000,0.002247
chr1,7961803,7990085,7976093,25000,0.003057
chr1,7990086,8023931,8006498,25000,0.006719
chr1,8023932,8054808,8040363,25000,0.006382
chr1,8054809,8081543,8068334,25000,0.003761
chr1,8081544,8110249,8095453,25000,0.00277
chr1,8110250,8138420,8124485,25000,0.007095
chr1,8138421,8196490,8182105,25000,0.002754
chr1,8196491,8235074,8214075,25000,0.004401
chr1,8235075,8271720,8254564,25000,0.00678
chr1,8271721,8348708,8319957,25000,0.003258
chr1,8348709,8380262,8364601,25000,0.004336
chr1,8380263,8408106,8394284,25000,0.010796
chr1,8408107,8439881,8423693,25000,0.010257
chr1,8439882,8468736,8455132,25000,0.005198
chr1,8468737,8495216,8482249,25000,0.007409
chr1,8495217,8522783,8508809,25000,0.00413
chr1,8522784,8556442,8541374,25000,0.005341
chr1,8556443,8585478,8571089,25000,0.005349
chr1,8585479,8614499,8598780,25000,0.003465
chr1,8614500,8649729,8629590,25000,0.004302
chr1,8649730,8676315,8663333,25000,0.002042
chr1,8676316,8704873,8691198,25000,0.00451
chr1,8704874,8737219,8722508,25000,0.004887
chr1,8737221,8763943,8750774,25000,0.004442
chr1,8763945,8798030,8778791,25000,0.005432
chr1,8798031,8825395,8811688,25000,0.00438
chr1,8825396,8859940,8841808,25000,0.002785
chr1,8859941,8888299,8875079,25000,0.003558
chr1,8888300,8914122,8901256,25000,0.004984
chr1,8914123,8944681,8929146,25000,0.008242
chr1,8944682,8970621,8957699,25000,0.006247
chr1,8970622,9000862,8987424,25000,0.006098
chr1,9000863,9028782,9015294,25000,0.002883
chr1,9028783,9069008,9043432,25000,0.003045
chr1,9069009,9094605,9081856,25000,0.002374
chr1,9094606,9143329,9121028,25000,0.002238
chr1,9143330,9205453,9173632,25000,0.0028
chr1,9205454,9233790,9220362,25000,0.006791
chr1,9233791,9259057,9246427,25000,0.000628
chr1,9259058,9284615,9271808,25000,0.003557
chr1,9284616,9313746,9297815,25000,0.002839
chr1,9313747,9345916,9328890,25000,0.003129
chr1,9345917,9373766,9359837,25000,0.002941
chr1,9373767,9400149,9387073,25000,0.003827
chr1,9400150,9434696,9417166,25000,0.00368
chr1,9434697,9464958,9450843,25000,0.003594
chr1,9464959,9500929,9481641,25000,0.003204
chr1,9500930,9564380,9522711,25000,0.002904
chr1,9564381,9594250,9578716,25000,0.002955
chr1,9594251,9637895,9615696,25000,0.003471
chr1,9637896,9663004,9650466,25000,0.001633
chr1,9663005,9691394,9676516,25000,0.003662
chr1,9691395,9718316,9704584,25000,0.005683
chr1,9718317,9754247,9736582,25000,0.004113
chr1,9754248,9781501,9767515,25000,0.00224
chr1,9781502,9812107,9795533,25000,0.005415
chr1,9812108,9851702,9834609,25000,0.007548
chr1,9851703,9886361,9870450,25000,0.009023
chr1,9886362,9912603,9899165,25000,0.003223
chr1,9912604,9951531,9932530,25000,0.003613
chr1,9951532,9981271,9966665,25000,0.002266
chr1,9981272,10008453,9994269,25000,0.005441
chr1,10008454,10045047,10028023,25000,0.006496
chr1,10045048,10075521,10060437,25000,0.00612
chr1,10075522,10103319,10089356,25000,0.004472
chr1,10103320,10130312,10116508,25000,0.002247
chr1,10130313,10167760,10144021,25000,0.002317
chr1,10167761,10202218,10182228,25000,0.003058
chr1,10202219,10240083,10216504,25000,0.004182
chr1,10240084,10274590,10258368,25000,0.008751
chr1,10274591,10311264,10289421,25000,0.002778
chr1,10311265,10337897,10324657,25000,0.003158
chr1,10337898,10373861,10356047,25000,0.003271
chr1,10373862,10401676,10388065,25000,0.004052
chr1,10401677,10429391,10416075,25000,0.008081
chr1,10429392,10491137,10471332,25000,0.00847
chr1,10491138,10527389,10506365,25000,0.003378
chr1,10527390,10562443,10542214,25000,0.006899
chr1,10562444,10600640,10583275,25000,0.006506
chr1,10600641,10639196,10621279,25000,0.004341
chr1,10639197,10665580,10652245,25000,0.003759
chr1,10665581,10699585,10684297,25000,0.005394
chr1,10699586,10737993,10718300,25000,0.004875
chr1,10737994,10765224,10751426,25000,0.002412
chr1,10765225,10802949,10782477,25000,0.007314
chr1,10802950,10857047,10821313,25000,0.005852
chr1,10857048,10896451,10876265,25000,0.003826
chr1,10896452,10923564,10909832,25000,0.006403
chr1,10923565,10956600,10940045,25000,0.001722
chr1,10956601,10986952,10972113,25000,0.003002
chr1,10986953,11013867,11000465,25000,0.006463
chr1,11013868,11039777,11026568,25000,0.003166
chr1,11039778,11066477,11052835,25000,0.001592
chr1,11066478,11093235,11080128,25000,0.003056
chr1,11093236,11125614,11110129,25000,0.00335
chr1,11125615,11162818,11141055,25000,0.004943
chr1,11162819,11202997,11181616,25000,0.007915
chr1,11202998,11243921,11223955,25000,0.006943
chr1,11243922,11299032,11275082,25000,0.005677
chr1,11299033,11324538,11311715,25000,0.00325
chr1,11324539,11352591,11337790,25000,0.004315
chr1,11352592,11387177,11370189,25000,0.004825
chr1,11387178,11427165,11401901,25000,0.00446
chr1,11427166,11453361,11439884,25000,0.003045
chr1,11453362,11489572,11468377,25000,0.007038
chr1,11489573,11527837,11505905,25000,0.00523
chr1,11527838,11560335,11545427,25000,0.006421
chr1,11560336,11608109,11583088,25000,0.003257
chr1,11608110,11635914,11622012,25000,0.003663
chr1,11635915,11671469,11652261,25000,0.005357
chr1,11671470,11703389,11685605,25000,0.003388
chr1,11703390,11729344,11716137,25000,0.001298
chr1,11729345,11761041,11744233,25000,0.007015
chr1,11761042,11792796,11777192,25000,0.004586
