scaffold,start,end,mid,sites,pi_Ass
scaffold_1,1,38779,24223,25000,0.006409
scaffold_1,38780,64248,51538,25000,0.001851
scaffold_1,64249,90570,77608,25000,0.003842
scaffold_1,90571,117298,103924,25000,0.004888
scaffold_1,117299,146828,131525,25000,0.003349
scaffold_1,146829,173621,160187,25000,0.004244
scaffold_1,173622,203248,187858,25000,0.004821
scaffold_1,203249,232690,217382,25000,0.003747
scaffold_1,232691,259157,245680,25000,0.00545
scaffold_1,259158,288141,273720,25000,0.009669
scaffold_1,288142,317295,302886,25000,0.006007
scaffold_1,317296,344334,331262,25000,0.008697
scaffold_1,344335,388011,373637,25000,0.004215
scaffold_1,388012,413703,400807,25000,0.0064
scaffold_1,413704,447183,429120,25000,0.01221
scaffold_1,447184,473813,460341,25000,0.01086
scaffold_1,473814,501008,487444,25000,0.012658
scaffold_1,501009,526590,513652,25000,0.004484
scaffold_1,526591,564125,541794,25000,0.009846
scaffold_1,564126,592608,579263,25000,0.007978
scaffold_1,592609,617989,605309,25000,0.0099
scaffold_1,617990,644008,630713,25000,0.008697
scaffold_1,644009,669900,656824,25000,0.008304
scaffold_1,669901,703793,686737,25000,0.0134
scaffold_1,703794,729410,716454,25000,0.006835
scaffold_1,729411,756732,743020,25000,0.013315
scaffold_1,756733,783403,769999,25000,0.01478
scaffold_1,783404,819168,804673,25000,0.015287
scaffold_1,819169,847831,834471,25000,0.012701
scaffold_1,847832,875309,861826,25000,0.011693
scaffold_1,875310,902556,889019,25000,0.017234
scaffold_1,902557,931058,916995,25000,0.017449
scaffold_1,931059,956499,943759,25000,0.009094
scaffold_1,956500,982699,969695,25000,0.01048
scaffold_1,982700,1014910,999169,25000,0.006655
scaffold_1,1014911,1040951,1028186,25000,0.011184
scaffold_1,1040952,1067977,1054405,25000,0.013767
scaffold_1,1067978,1095842,1081493,25000,0.014911
scaffold_1,1095843,1125276,1110354,25000,0.027117
scaffold_1,1125277,1164518,1145223,25000,0.023738
scaffold_1,1164519,1199577,1185439,25000,0.018763
scaffold_1,1199578,1236961,1218725,25000,0.024019
scaffold_1,1236962,1264059,1250593,25000,0.015122
scaffold_1,1264060,1292460,1278588,25000,0.016454
scaffold_1,1292461,1325927,1309678,25000,0.014947
scaffold_1,1325928,1380733,1354410,25000,0.016649
scaffold_1,1380734,1407290,1394075,25000,0.020021
scaffold_1,1407291,1439251,1422625,25000,0.027036
scaffold_1,1439252,1465761,1452311,25000,0.00865
scaffold_1,1465762,1493537,1479195,25000,0.013248
scaffold_1,1493538,1522259,1506723,25000,0.013417
scaffold_1,1522260,1564674,1538680,25000,0.008034
scaffold_1,1564675,1603690,1586312,25000,0.005981
scaffold_1,1603691,1633055,1617802,25000,0.013496
scaffold_1,1633056,1661994,1647125,25000,0.010951
scaffold_1,1661995,1699978,1681169,25000,0.005145
scaffold_1,1699979,1725646,1712798,25000,0.007718
scaffold_1,1725647,1754535,1739251,25000,0.006516
scaffold_1,1754536,1783464,1767786,25000,0.008076
scaffold_1,1783465,1811127,1797308,25000,0.02226
scaffold_1,1811128,1848234,1826648,25000,0.010631
scaffold_1,1848235,1873839,1861102,25000,0.00964
scaffold_1,1873840,1902698,1888009,25000,0.020245
scaffold_1,1902699,1929746,1916364,25000,0.013342
scaffold_1,1929747,1966485,1950512,25000,0.014553
scaffold_1,1966486,1992710,1979512,25000,0.013103
scaffold_1,1992711,2020408,2006688,25000,0.009167
scaffold_1,2020409,2050846,2036307,25000,0.01143
scaffold_1,2050847,2088178,2069401,25000,0.011474
scaffold_1,2088179,2116305,2101705,25000,0.012327
scaffold_1,2116306,2144107,2130008,25000,0.014538
scaffold_1,2144108,2172520,2159046,25000,0.012151
scaffold_1,2172521,2198651,2185730,25000,0.007233
scaffold_1,2198652,2225537,2211990,25000,0.014776
scaffold_1,2225538,2254304,2239627,25000,0.014071
scaffold_1,2254305,2281377,2268020,25000,0.008432
scaffold_1,2281378,2307572,2294540,25000,0.010686
scaffold_1,2307573,2335562,2322260,25000,0.012208
scaffold_1,2335563,2361245,2348394,25000,0.008099
scaffold_1,2361246,2386900,2374169,25000,0.009356
scaffold_1,2386901,2413144,2399795,25000,0.00506
scaffold_1,2413145,2439518,2426334,25000,0.009169
scaffold_1,2439519,2467881,2454570,25000,0.008722
