scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name
scaffold_1,12305,44133,29776,25000,0.000784,0.000784,0.006818,0.801023,652304,scaffold_1_1
scaffold_1,44134,80662,64902,25000,0.000482,0.000458,0.009207,0.907287,652304,scaffold_1_1
scaffold_1,80667,107294,93657,25000,0.000958,0.000946,0.012674,0.866296,652304,scaffold_1_1
scaffold_1,107295,135149,120978,25000,0.000591,0.000521,0.00318,0.708921,652304,scaffold_1_1
scaffold_1,135150,162430,148160,25000,0.000784,0.000773,0.01568,0.909712,652304,scaffold_1_1
scaffold_1,162431,188724,175620,25000,0.000922,0.000935,0.008471,0.810444,652304,scaffold_1_1
scaffold_1,188725,214565,201662,25000,0.000647,0.000677,0.016959,0.928325,652304,scaffold_1_1
scaffold_1,214566,240815,227637,25000,0.001126,0.001181,0.014299,0.857134,652304,scaffold_1_1
scaffold_1,240816,267686,254230,25000,0.001043,0.000909,0.018323,0.901693,652304,scaffold_1_1
scaffold_1,267687,296085,282569,25000,0.000566,0.000585,0.01498,0.929434,652304,scaffold_1_1
scaffold_1,296086,321468,308761,25000,0.001179,0.001168,0.016294,0.871482,652304,scaffold_1_1
scaffold_1,321469,353207,338490,25000,0.000813,0.000789,0.016796,0.913141,652304,scaffold_1_1
scaffold_1,353208,380671,366926,25000,0.000742,0.000768,0.021331,0.934842,652304,scaffold_1_1
scaffold_1,380672,409387,394948,25000,0.000478,0.000382,0.013814,0.941436,652304,scaffold_1_1
scaffold_1,409388,436742,423168,25000,0.00044,0.000499,0.016693,0.946907,652304,scaffold_1_1
scaffold_1,436743,463148,450264,25000,0.001029,0.000827,0.009663,0.832046,652304,scaffold_1_1
scaffold_1,463149,489262,475976,25000,0.000835,0.001192,0.00814,0.787265,652304,scaffold_1_1
scaffold_1,489263,515877,502713,25000,0.000871,0.000887,0.010984,0.858201,652304,scaffold_1_1
scaffold_1,515878,541491,528733,25000,0.001131,0.00102,0.013749,0.861117,652304,scaffold_1_1
scaffold_1,541492,567893,554701,25000,0.001588,0.001574,0.018808,0.851494,652304,scaffold_1_1
scaffold_1,567894,613725,585823,25000,0.000813,0.00088,0.012275,0.875805,652304,scaffold_1_1
scaffold_1,613726,642127,628242,25000,0.001496,0.00183,0.016199,0.821446,652304,scaffold_1_1
scaffold_1,642128,671153,657390,25000,0.001357,0.001323,0.003293,0.434067,652304,scaffold_1_1
scaffold_1,758648,786930,772375,25000,0.001443,0.001585,0.020876,0.870651,139876,scaffold_1_2
scaffold_1,786931,812746,799891,25000,0.001535,0.001512,0.006416,0.628273,139876,scaffold_1_2
