scaffold,start,end,mid,sites,pi_Ppr
chr1,10287,72670,52406,25000,0.011
chr1,72671,98853,85937,25000,0.011617
chr1,98854,125296,112139,25000,0.010653
chr1,125297,153136,138298,25000,0.009668
chr1,153137,180722,167487,25000,0.011234
chr1,180723,208298,194538,25000,0.010369
chr1,208299,236405,221945,25000,0.010126
chr1,236406,262651,249267,25000,0.01092
chr1,262652,294497,279892,25000,0.012103
chr1,294498,319826,307215,25000,0.007919
chr1,319827,345161,332524,25000,0.004896
chr1,345162,370348,357767,25000,0.004848
chr1,370349,395641,382974,25000,0.002689
chr1,395642,420922,408298,25000,0.001764
chr1,420923,446334,433603,25000,0.003989
chr1,446335,471758,458962,25000,0.006889
chr1,471759,497335,484461,25000,0.007202
chr1,497336,523055,510121,25000,0.005598
chr1,523056,550345,536426,25000,0.006152
chr1,550346,577597,563622,25000,0.010961
chr1,577598,612481,596816,25000,0.010055
chr1,612482,638635,625225,25000,0.00984
chr1,638636,664856,651634,25000,0.012115
chr1,664857,691462,678368,25000,0.009959
chr1,691463,718469,704557,25000,0.010172
chr1,718470,745327,731955,25000,0.009129
chr1,745328,771347,758411,25000,0.008656
chr1,771348,798468,785102,25000,0.008739
chr1,798469,825547,811709,25000,0.010123
chr1,825548,857054,840839,25000,0.009524
chr1,857055,885496,871413,25000,0.009897
chr1,885497,912675,899204,25000,0.015911
chr1,912676,938568,925694,25000,0.010261
chr1,938569,965888,952381,25000,0.012351
chr1,965889,992112,979095,25000,0.010929
chr1,992114,1019030,1005749,25000,0.012359
chr1,1019031,1045891,1032716,25000,0.012752
chr1,1045892,1072688,1059372,25000,0.010922
chr1,1072689,1099479,1085973,25000,0.009767
chr1,1099480,1125332,1112395,25000,0.009854
chr1,1125333,1151013,1138284,25000,0.009861
chr1,1151014,1177296,1164142,25000,0.010213
chr1,1177297,1204483,1190860,25000,0.012102
chr1,1204484,1230586,1217412,25000,0.011236
chr1,1230587,1257368,1244186,25000,0.01096
chr1,1257369,1284511,1271197,25000,0.011063
chr1,1284512,1310823,1297917,25000,0.006654
chr1,1310824,1363339,1329800,25000,0.011181
chr1,1363340,1444768,1415868,25000,0.009293
chr1,1444769,1473178,1459483,25000,0.016839
chr1,1473179,1513891,1495815,25000,0.011436
chr1,1513892,1543800,1530556,25000,0.009315
chr1,1543801,1569228,1556530,25000,0.006628
chr1,1569229,1605363,1586467,25000,0.005555
chr1,1605364,1630787,1618056,25000,0.008637
chr1,1630788,1656919,1643615,25000,0.008606
chr1,1656920,1683501,1670241,25000,0.007082
chr1,1683502,1711042,1697242,25000,0.009407
chr1,1711043,1739373,1725627,25000,0.011399
chr1,1739374,1767419,1753058,25000,0.011374
chr1,1767420,1795268,1781763,25000,0.009278
chr1,1795269,1821021,1808140,25000,0.006841
chr1,1821022,1847795,1834379,25000,0.010726
chr1,1847796,1876975,1862085,25000,0.012302
chr1,1876976,1907452,1893759,25000,0.01011
chr1,1907453,1932744,1920093,25000,0.006113
chr1,1932745,1958343,1945510,25000,0.006033
chr1,1958344,1984098,1971193,25000,0.007623
chr1,1984099,2012715,1998312,25000,0.006756
chr1,2012716,2038509,2025798,25000,0.009216
chr1,2038510,2063975,2051251,25000,0.007736
chr1,2063976,2089371,2076663,25000,0.005274
chr1,2089372,2115368,2102417,25000,0.004522
chr1,2115369,2141124,2128283,25000,0.005072
chr1,2141125,2167436,2154080,25000,0.011435
chr1,2167437,2195034,2181005,25000,0.009244
chr1,2195035,2220917,2207956,25000,0.007642
chr1,2220918,2247138,2234110,25000,0.007892
chr1,2247139,2273086,2259990,25000,0.009971
chr1,2273087,2299353,2286253,25000,0.014387
chr1,2299354,2333397,2316175,25000,0.006763
chr1,2333398,2359121,2346131,25000,0.008766
chr1,2359122,2385428,2372383,25000,0.008283
chr1,2385429,2411110,2398276,25000,0.006438
chr1,2411111,2437557,2424310,25000,0.009296
chr1,2437558,2465413,2451882,25000,0.009514
chr1,2465414,2491266,2478367,25000,0.008819
chr1,2491267,2516883,2504141,25000,0.005739
chr1,2516884,2548139,2530191,25000,0.011235
chr1,2548140,2574781,2561838,25000,0.010771
chr1,2574782,2601074,2587968,25000,0.010357
chr1,2601075,2627792,2614117,25000,0.011324
chr1,2627793,2654348,2641059,25000,0.010135
chr1,2654349,2681233,2667970,25000,0.010805
chr1,2681234,2707733,2694703,25000,0.00963
chr1,2707734,2733987,2720654,25000,0.010566
chr1,2733988,2760365,2747081,25000,0.010374
chr1,2760366,2786727,2773261,25000,0.010041
chr1,2786728,2814335,2800279,25000,0.010353
chr1,2814336,2841552,2828184,25000,0.005447
chr1,2841553,2868275,2854743,25000,0.009055
chr1,2868276,2895421,2881794,25000,0.008854
chr1,2895422,2921661,2908738,25000,0.010648
chr1,2921662,2947646,2934547,25000,0.009104
chr1,2947647,2974410,2961136,25000,0.007766
chr1,2974411,3009004,2989006,25000,0.008718
chr1,3009005,3035150,3022214,25000,0.008875
chr1,3035151,3061450,3048189,25000,0.002998
chr1,3061451,3087756,3074598,25000,0.008475
chr1,3087757,3113622,3100809,25000,0.008176
chr1,3113623,3140809,3126803,25000,0.010587
chr1,3140810,3179890,3161778,25000,0.014341
chr1,3179891,3211119,3195121,25000,0.015772
chr1,3211120,3241311,3225515,25000,0.012036
chr1,3241312,3270764,3256783,25000,0.010656
chr1,3270765,3296521,3283512,25000,0.008278
chr1,3296522,3325111,3310892,25000,0.013384
chr1,3325112,3351913,3338879,25000,0.012238
chr1,3351914,3379940,3365364,25000,0.012955
chr1,3379941,3437442,3402533,25000,0.016669
chr1,3437443,3471040,3456411,25000,0.01584
chr1,3471041,3497817,3484373,25000,0.018248
chr1,3497818,3527375,3511615,25000,0.013052
chr1,3527376,3554553,3541529,25000,0.009613
chr1,3554554,3583643,3569011,25000,0.005009
chr1,3583644,3613666,3598328,25000,0.020519
chr1,3613667,3646991,3631171,25000,0.015445
chr1,3646992,3676278,3661783,25000,0.014374
chr1,3676279,3712715,3692543,25000,0.013029
chr1,3712716,3767580,3730319,25000,0.010511
chr1,3767581,3803748,3784487,25000,0.007854
chr1,3803749,3831003,3817291,25000,0.016016
chr1,3831004,3860120,3845237,25000,0.021551
chr1,3860123,3925489,3891598,25000,0.01209
chr1,3925490,3952414,3938583,25000,0.013145
chr1,3952415,3979166,3966051,25000,0.013244
chr1,3979167,4005909,3992798,25000,0.009646
chr1,4005910,4031882,4018934,25000,0.009799
chr1,4031883,4059733,4045994,25000,0.009465
chr1,4059734,4085732,4072753,25000,0.005198
chr1,4085733,4113323,4099377,25000,0.004259
chr1,4113324,4140516,4127548,25000,0.008112
chr1,4140517,4167838,4154426,25000,0.009882
chr1,4167839,4194104,4181179,25000,0.010135
chr1,4194105,4220102,4207000,25000,0.0082
chr1,4220103,4245462,4232799,25000,0.008422
chr1,4245463,4281867,4262170,25000,0.010668
chr1,4281868,4308387,4295388,25000,0.009109
chr1,4308388,4334235,4321444,25000,0.007692
chr1,4334236,4359787,4346959,25000,0.006308
chr1,4359788,4385748,4372652,25000,0.008305
chr1,4385749,4411491,4398582,25000,0.00906
chr1,4411492,4437322,4424403,25000,0.006119
chr1,4437323,4464376,4450680,25000,0.009266
chr1,4464377,4490059,4477223,25000,0.00724
chr1,4490060,4515948,4503175,25000,0.00954
chr1,4515949,4550618,4535581,25000,0.006546
chr1,4550619,4577585,4564099,25000,0.010818
chr1,4577586,4603802,4590756,25000,0.005902
chr1,4603803,4631394,4617664,25000,0.009581
chr1,4631395,4659006,4644874,25000,0.013425
chr1,4659007,4687341,4673592,25000,0.014353
chr1,4687342,4712606,4699983,25000,0.005977
chr1,4712607,4738149,4725356,25000,0.007642
chr1,4738150,4763895,4750949,25000,0.009633
chr1,4763896,4789969,4776711,25000,0.009204
chr1,4789970,4816768,4803507,25000,0.01035
chr1,4816769,4844819,4830112,25000,0.01002
chr1,4844820,4871874,4857891,25000,0.008167
chr1,4871875,4897411,4884609,25000,0.008153
chr1,4897412,4924496,4910488,25000,0.009455
chr1,4924497,4950248,4937354,25000,0.009022
chr1,4950249,4975892,4963128,25000,0.00778
chr1,4975893,5004629,4989069,25000,0.010388
chr1,5004630,5033791,5019557,25000,0.010798
chr1,5033792,5059414,5046650,25000,0.007299
chr1,5059415,5084816,5072105,25000,0.006896
chr1,5084817,5110506,5097716,25000,0.011082
chr1,5110507,5139468,5123724,25000,0.01035
chr1,5139469,5166588,5153056,25000,0.011068
chr1,5166589,5193679,5180135,25000,0.013162
chr1,5193680,5220495,5207195,25000,0.009552
chr1,5220496,5246752,5233573,25000,0.005978
chr1,5246753,5272240,5259430,25000,0.007061
chr1,5272241,5298206,5285290,25000,0.009178
chr1,5298207,5325089,5311522,25000,0.006617
chr1,5325090,5350573,5337819,25000,0.007644
chr1,5350574,5376113,5363404,25000,0.006705
chr1,5376114,5401603,5388818,25000,0.004936
chr1,5401604,5427073,5414328,25000,0.00732
chr1,5427074,5452584,5439822,25000,0.007118
chr1,5452585,5478458,5465546,25000,0.010747
chr1,5478459,5515067,5500819,25000,0.008014
chr1,5515068,5541411,5528219,25000,0.00816
chr1,5541412,5587980,5571484,25000,0.010874
chr1,5587981,5628929,5605285,25000,0.013262
chr1,5628930,5657357,5643685,25000,0.010601
chr1,5657358,5683310,5670232,25000,0.008357
chr1,5683311,5709808,5696240,25000,0.009458
chr1,5709809,5736604,5723359,25000,0.011532
chr1,5736605,5766111,5752149,25000,0.01155
chr1,5766112,5795119,5780462,25000,0.013829
chr1,5795120,5826731,5811236,25000,0.015681
chr1,5826732,5853048,5840057,25000,0.010541
chr1,5853049,5881863,5867356,25000,0.014581
chr1,5881864,5908172,5894892,25000,0.011914
chr1,5908173,5935492,5921879,25000,0.010509
