#sample	chromosome	file_name	variants	phased	unphased	singletons	blocks	variant_per_block_median	variant_per_block_avg	variant_per_block_min	variant_per_block_max	variant_per_block_sum	bp_per_block_median	bp_per_block_avg	bp_per_block_min	bp_per_block_max	bp_per_block_sum	heterozygous_variants	heterozygous_snvs	phased_snvs	phased_fraction	phased_snvs_fraction	block_n50
Ppr.ref_sa	chr1	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	697498	312841	6732	0	209	560	1496.846889952153	2	21595	312841	47802	118890.52631578948	51	1963226	24848120	319573	319573	312841	0.9789343905774267	0.9789343905774267	190894
Ppr.ref_sa	chr2	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	599885	260111	4660	0	204	390.5	1275.0539215686274	5	22626	260111	32329.5	103992.16666666667	101	1923296	21214402	264771	264771	260111	0.9823998851838004	0.9823998851838004	133489
Ppr.ref_sa	chr3	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	476061	203425	3764	0	123	233	1653.861788617886	2	29476	203425	25812	157283.60162601626	100	3019081	19345883	207189	207189	203425	0.9818330123703478	0.9818330123703478	340550
Ppr.ref_sa	chr4	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	448939	222050	3546	0	101	892	2198.5148514851485	16	24642	222050	92862	195631.0495049505	1027	2648778	19758736	225596	225596	222050	0.9842816361992234	0.9842816361992234	314286
Ppr.ref_sa	chr5	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	405741	199596	2859	0	112	560.5	1782.107142857143	10	21684	199596	46891.0	164963.07142857142	183	2345662	18475864	202455	202455	199596	0.985878343335556	0.985878343335556	335796
Ppr.ref_sa	chr6	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	377358	197002	2391	0	76	525.5	2592.1315789473683	4	99002	197002	48265.5	246371.93421052632	856	10535340	18724267	199393	199393	197002	0.9880086061195729	0.9880086061195729	1001042
Ppr.ref_sa	chr7	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	328550	183745	1847	0	44	2299.5	4176.022727272727	2	19474	183745	208569.5	390241.38636363635	1	1983838	17170621	185592	185592	183745	0.9900480624164835	0.9900480624164835	1232064
Ppr.ref_sa	chr8	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	328601	165199	2326	0	66	671.0	2503.0151515151515	2	57664	165199	62999.5	231807.89393939395	11	6130037	15299321	167525	167525	165199	0.9861155051484853	0.9861155051484853	437434
Ppr.ref_sa	chr9	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	373603	192624	2817	0	67	1066	2874.9850746268658	2	31627	192624	105977	251598.49253731343	23	2871091	16857099	195441	195441	192624	0.9855864429674429	0.9855864429674429	513703
Ppr.ref_sa	HiC_scaffold_11	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	4138	1190	12	0	8	172.5	148.75	7	308	1190	10194.0	9092.5	700	18470	72740	1202	1202	1190	0.9900166389351082	0.9900166389351082	0
Ppr.ref_sa	ALL	Ppr.varSNPs.biallpass.filtered.phased.vcf.gz	4040374	1937783	30954	0	1010	551.5	1918.5970297029703	2	99002	1937783	47976.5	170066.3891089109	1	10535340	171767053	1968737	1968737	1937783	0.9842772295131346	0.9842772295131346	335796
