scaffold,start,end,mid,sites,pi_Hrs
scaffold_1,8096,33868,20879,25000,0.001651
scaffold_1,33869,59679,46734,25000,0.0025
scaffold_1,59680,84929,72306,25000,0.002735
scaffold_1,84930,110040,97493,25000,0.00231
scaffold_1,110041,135322,122639,25000,0.001254
scaffold_1,135323,160545,147969,25000,0.001389
scaffold_1,160546,185753,173190,25000,0.002534
scaffold_1,185754,210844,198294,25000,0.001901
scaffold_1,210845,236388,223762,25000,0.001916
scaffold_1,236389,263627,249012,25000,0.003555
scaffold_1,263628,289294,276640,25000,0.00329
scaffold_1,289295,315512,302581,25000,0.001858
scaffold_1,315513,340609,328059,25000,0.002639
scaffold_1,340610,365845,353256,25000,0.003415
scaffold_1,365846,390923,378381,25000,0.001648
scaffold_1,390924,416392,403797,25000,0.001559
scaffold_1,416393,441414,428904,25000,0.001791
scaffold_1,441415,466819,454088,25000,0.004199
scaffold_1,466820,531811,496772,25000,0.011895
scaffold_1,531812,564196,548477,25000,0.008065
scaffold_1,564197,589246,576717,25000,0.001534
scaffold_1,589247,623390,602552,25000,0.002727
scaffold_1,623391,665446,648148,25000,0.003429
scaffold_1,665447,691032,678194,25000,0.007037
scaffold_1,691033,716378,703805,25000,0.004977
scaffold_1,716379,742088,729207,25000,0.008421
scaffold_1,742089,767322,754763,25000,0.006406
scaffold_1,767323,792617,780037,25000,0.001797
scaffold_1,792618,817813,805226,25000,0.002669
scaffold_1,817814,843012,830361,25000,0.002685
scaffold_1,843013,868628,855808,25000,0.001945
scaffold_1,868629,894512,881370,25000,0.004145
scaffold_1,894513,926362,912470,25000,0.009868
scaffold_1,926363,951471,938940,25000,0.002062
scaffold_1,951472,976916,964090,25000,0.004674
scaffold_1,976917,1003297,990351,25000,0.008994
scaffold_1,1003298,1029782,1016352,25000,0.007881
scaffold_1,1029783,1056913,1042793,25000,0.008747
scaffold_1,1056914,1082321,1069690,25000,0.006488
scaffold_1,1082322,1107577,1094951,25000,0.002506
scaffold_1,1107578,1133642,1120569,25000,0.007466
scaffold_1,1133643,1159273,1146553,25000,0.010613
scaffold_1,1159274,1184802,1172096,25000,0.002301
scaffold_1,1184803,1210275,1197505,25000,0.007528
scaffold_1,1210276,1236474,1223188,25000,0.008565
scaffold_1,1236475,1262076,1249334,25000,0.00567
scaffold_1,1262077,1287305,1274683,25000,0.001138
scaffold_1,1287306,1312469,1299839,25000,0.003941
scaffold_1,1312470,1338013,1325340,25000,0.004732
scaffold_1,1338014,1363197,1350587,25000,0.002095
scaffold_1,1363198,1392110,1378268,25000,0.006002
scaffold_1,1392111,1432903,1412361,25000,0.011238
scaffold_1,1432904,1458136,1445526,25000,0.003561
scaffold_1,1458137,1483957,1470778,25000,0.004017
scaffold_1,1483958,1509105,1496518,25000,0.003306
scaffold_1,1509106,1571866,1545399,25000,0.005744
scaffold_1,1571867,1597867,1585158,25000,0.00489
scaffold_1,1597868,1623457,1610798,25000,0.004076
scaffold_1,1623458,1648498,1635970,25000,0.001554
scaffold_1,1648499,1673581,1661026,25000,0.002054
scaffold_1,1673582,1699473,1686446,25000,0.007907
scaffold_1,1699474,1726189,1712788,25000,0.010424
scaffold_1,1726190,1751635,1739041,25000,0.004563
scaffold_1,1751636,1776735,1764173,25000,0.001055
scaffold_1,1776736,1801964,1789341,25000,0.004182
scaffold_1,1801965,1827295,1814708,25000,0.003246
scaffold_1,1827296,1852695,1839903,25000,0.002844
scaffold_1,1852696,1880556,1865687,25000,0.008943
scaffold_1,1880557,1905989,1893266,25000,0.003745
scaffold_1,1905990,1931881,1918986,25000,0.004916
scaffold_1,1931882,1957747,1944751,25000,0.00416
scaffold_1,1957748,1983418,1970715,25000,0.004611
scaffold_1,1983419,2008724,1996036,25000,0.001891
scaffold_1,2008725,2034170,2021535,25000,0.003902
scaffold_1,2034171,2059297,2046711,25000,0.002662
scaffold_1,2059298,2084956,2072033,25000,0.005567
scaffold_1,2084957,2110619,2097750,25000,0.004488
scaffold_1,2110620,2135758,2123198,25000,0.002988
scaffold_1,2135759,2161740,2148829,25000,0.004161
scaffold_1,2161741,2187000,2174370,25000,0.003773
scaffold_1,2187001,2212937,2199854,25000,0.004718
scaffold_1,2212938,2238657,2225718,25000,0.003283
scaffold_1,2238658,2264709,2251659,25000,0.004262
scaffold_1,2264710,2290781,2277625,25000,0.004552
scaffold_1,2290782,2316534,2303730,25000,0.003351
scaffold_1,2316535,2341841,2329203,25000,0.003443
scaffold_1,2341842,2368720,2355284,25000,0.007123
scaffold_1,2368721,2394018,2381335,25000,0.003105
scaffold_1,2394019,2419439,2406707,25000,0.003758
scaffold_1,2419440,2445188,2432182,25000,0.005474
scaffold_1,2445189,2472449,2458899,25000,0.009961
scaffold_1,2472450,2499750,2486624,25000,0.006327
scaffold_1,2499751,2525197,2512418,25000,0.005546
scaffold_1,2525198,2551915,2538424,25000,0.007481
scaffold_1,2551916,2579140,2565590,25000,0.008747
scaffold_1,2579141,2606888,2592573,25000,0.008059
scaffold_1,2606889,2633218,2620261,25000,0.005981
scaffold_1,2633219,2660303,2647461,25000,0.003036
scaffold_1,2660304,2686249,2673266,25000,0.003874
scaffold_1,2686250,2711835,2699183,25000,0.004141
scaffold_1,2711836,2737473,2724608,25000,0.008069
scaffold_1,2737474,2764288,2751128,25000,0.007202
scaffold_1,2764289,2792166,2777465,25000,0.011054
scaffold_1,2792167,2818629,2805106,25000,0.006466
scaffold_1,2818630,2844076,2831430,25000,0.004581
scaffold_1,2844077,2869708,2856886,25000,0.004332
scaffold_1,2869709,2895268,2882414,25000,0.00365
scaffold_1,2895269,2920981,2907974,25000,0.002429
scaffold_1,2920982,2947294,2934177,25000,0.006397
scaffold_1,2947295,2972615,2959905,25000,0.004481
scaffold_1,2972616,2998050,2985222,25000,0.006264
scaffold_1,2998051,3031806,3014479,25000,0.011834
