scaffold,start,end,mid,sites,pi1,pi2,dxy,fst,window_size,window_name
scaffold_1,1669199,1735573,1708213,25000,0.001791,0.001921,0.001932,0.020676,124469,scaffold_1_1
scaffold_1,1735574,1841281,1786350,25000,0.001198,0.001458,0.00178,0.149351,124469,scaffold_1_1
scaffold_1,2444102,2487698,2468507,25000,0.002494,0.002202,0.004215,0.283142,250668,scaffold_1_2
scaffold_1,2487699,2524217,2505785,25000,0.002765,0.00321,0.003841,0.13367,250668,scaffold_1_2
scaffold_1,2524218,2565564,2546284,25000,0.003005,0.003257,0.003173,0.009391,250668,scaffold_1_2
scaffold_1,2565565,2591442,2578647,25000,0.002322,0.002236,0.002156,-0.028726,250668,scaffold_1_2
scaffold_1,2591443,2626500,2606793,25000,0.002197,0.002386,0.005438,0.413308,250668,scaffold_1_2
scaffold_1,2626501,2669168,2646356,25000,0.002095,0.002107,0.005813,0.478961,250668,scaffold_1_2
scaffold_1,2715902,2776107,2747469,25000,0.001814,0.001631,0.001619,-0.032082,193366,scaffold_1_3
scaffold_1,2776108,2806422,2790958,25000,0.00247,0.002058,0.0036,0.233407,193366,scaffold_1_3
scaffold_1,2806423,2843327,2827335,25000,0.001525,0.001477,0.003416,0.397142,193366,scaffold_1_3
scaffold_1,2974562,3013351,2992475,25000,0.001792,0.003437,0.004577,0.27922,108780,scaffold_1_4
scaffold_1,3129911,3172383,3155624,25000,0.003225,0.003035,0.003196,0.011784,249855,scaffold_1_5
scaffold_1,3172384,3217683,3201510,25000,0.002975,0.002918,0.002772,-0.031503,249855,scaffold_1_5
scaffold_1,3217684,3315542,3261518,25000,0.002829,0.003714,0.008807,0.466167,249855,scaffold_1_5
scaffold_1,3315543,3380943,3358581,25000,0.001868,0.002023,0.002036,0.023513,216030,scaffold_1_6
scaffold_1,3380944,3413295,3397322,25000,0.00164,0.001711,0.004005,0.415963,216030,scaffold_1_6
scaffold_1,3413296,3460283,3428764,25000,0.001727,0.001656,0.004425,0.451677,216030,scaffold_1_6
scaffold_1,3460284,3494062,3476337,25000,0.003645,0.003655,0.003695,0.006277,216030,scaffold_1_6
scaffold_1,3494063,3540395,3515773,25000,0.00299,0.002608,0.003745,0.144701,216030,scaffold_1_6
scaffold_1,3540396,3578938,3556964,25000,0.002273,0.001561,0.002285,0.066309,216030,scaffold_1_6
scaffold_1,3578939,3646349,3609544,25000,0.002697,0.0024,0.002418,-0.027141,103809,scaffold_1_7
scaffold_1,3646350,3687019,3662857,25000,0.003129,0.003106,0.003507,0.061063,103809,scaffold_1_7
scaffold_1,3816238,3885140,3843313,25000,0.002657,0.002699,0.002922,0.044883,172549,scaffold_1_8
scaffold_1,3885141,3927246,3907366,25000,0.003351,0.003257,0.003206,-0.015435,172549,scaffold_1_8
scaffold_1,3927247,3968006,3952748,25000,0.002079,0.001984,0.001896,-0.035696,172549,scaffold_1_8
scaffold_1,3968007,4053708,4010547,25000,0.003209,0.003236,0.003826,0.088144,124813,scaffold_1_9
scaffold_1,4053709,4086363,4069377,25000,0.003776,0.004084,0.003908,-0.003171,124813,scaffold_1_9
scaffold_1,4086364,4118583,4101733,25000,0.002671,0.00253,0.002467,-0.027365,124813,scaffold_1_9
scaffold_1,4641508,4696078,4671300,25000,0.001822,0.002816,0.002192,-0.031023,132064,scaffold_1_10
scaffold_1,4696079,4724627,4710517,25000,0.003637,0.003814,0.005312,0.180115,132064,scaffold_1_10
scaffold_1,4724628,4751639,4738096,25000,0.001697,0.002445,0.002049,-0.005493,132064,scaffold_1_10
scaffold_1,4751640,4781164,4766489,25000,0.003415,0.004319,0.007448,0.323366,132064,scaffold_1_10
scaffold_1,4781165,4822927,4806827,25000,0.003732,0.003636,0.003884,0.027265,108214,scaffold_1_11
scaffold_1,4822928,4885321,4865770,25000,0.001259,0.001206,0.00327,0.455647,108214,scaffold_1_11
scaffold_1,4885322,4922227,4902894,25000,0.00201,0.001975,0.001878,-0.030669,108214,scaffold_1_11
scaffold_1,5022595,5055167,5038501,25000,0.001909,0.002001,0.001826,-0.037,180646,scaffold_1_12
scaffold_1,5055168,5114258,5078098,25000,0.001675,0.001657,0.002286,0.157486,180646,scaffold_1_12
scaffold_1,5114259,5141810,5127844,25000,0.001618,0.001469,0.002941,0.311865,180646,scaffold_1_12
scaffold_1,5141811,5180494,5162640,25000,0.002321,0.002312,0.00217,-0.033863,180646,scaffold_1_12
scaffold_1,5180495,5239818,5209660,25000,0.001529,0.00162,0.002128,0.152524,180646,scaffold_1_12
scaffold_1,5239819,5265488,5252486,25000,0.003512,0.003467,0.003466,-0.003136,256826,scaffold_1_13
scaffold_1,5265489,5319475,5297373,25000,0.001088,0.001128,0.001149,0.018633,256826,scaffold_1_13
scaffold_1,5319476,5351434,5335294,25000,0.00163,0.001785,0.002437,0.180705,256826,scaffold_1_13
scaffold_1,5351435,5390383,5366883,25000,0.002846,0.002928,0.002777,-0.020075,256826,scaffold_1_13
scaffold_1,5390384,5434386,5406354,25000,0.001555,0.00136,0.002458,0.261614,256826,scaffold_1_13
scaffold_1,5434387,5461244,5447590,25000,0.002445,0.002189,0.002219,-0.022286,256826,scaffold_1_13
scaffold_1,5461245,5487055,5474202,25000,0.002108,0.001799,0.002676,0.160254,256826,scaffold_1_13
scaffold_1,5513528,5539497,5526486,25000,0.003758,0.003835,0.004396,0.07534,130857,scaffold_1_14
