scaffold,start,end,mid,sites,pi_Sms
scaffold_1,16124,42609,29269,25000,0.004651
scaffold_1,42610,97809,65912,25000,0.013257
scaffold_1,97810,236312,166509,25000,0.024416
scaffold_1,236313,272452,254779,25000,0.014474
scaffold_1,272453,310503,291318,25000,0.007929
scaffold_1,310504,370591,340959,25000,0.021987
scaffold_1,370592,412996,396091,25000,0.024525
scaffold_1,412997,479924,463524,25000,0.022685
scaffold_1,479925,516524,494625,25000,0.013464
scaffold_1,516525,543220,529993,25000,0.010641
scaffold_1,543221,607300,569733,25000,0.016295
scaffold_1,607301,638179,622318,25000,0.020949
scaffold_1,638180,685648,666161,25000,0.007047
scaffold_1,685649,734010,710588,25000,0.004067
scaffold_1,734012,792051,763097,25000,0.005676
scaffold_1,792052,820076,805777,25000,0.005504
scaffold_1,820077,891734,859419,25000,0.008662
scaffold_1,891735,918458,904856,25000,0.006441
scaffold_1,918459,986121,940792,25000,0.018725
scaffold_1,986122,1094920,1033718,25000,0.022871
scaffold_1,1094921,1176255,1140438,25000,0.011321
scaffold_1,1176256,1207882,1191353,25000,0.009056
scaffold_1,1207883,1278353,1242548,25000,0.011546
scaffold_1,1278354,1310191,1295574,25000,0.012957
scaffold_1,1310192,1358439,1335371,25000,0.009645
scaffold_1,1358440,1406345,1381209,25000,0.008869
scaffold_1,1406346,1450478,1432280,25000,0.01341
scaffold_1,1450479,1497149,1469363,25000,0.011756
scaffold_1,1497150,1529710,1514890,25000,0.01863
scaffold_1,1529711,1556841,1543245,25000,0.009177
scaffold_1,1556842,1655082,1583835,25000,0.014512
scaffold_1,1655083,1685342,1671624,25000,0.014078
scaffold_1,1685343,1719427,1704018,25000,0.006661
scaffold_1,1719428,1752443,1735174,25000,0.01122
scaffold_1,1752444,1789216,1771261,25000,0.010996
scaffold_1,1789217,1822234,1806020,25000,0.006296
scaffold_1,1822235,1858614,1844135,25000,0.00721
scaffold_1,1858615,1914227,1881656,25000,0.009202
scaffold_1,1914228,1967164,1947809,25000,0.003343
scaffold_1,1967165,1992784,1980127,25000,0.004383
scaffold_1,1992785,2017956,2005378,25000,0.00203
scaffold_1,2017957,2044518,2031340,25000,0.007135
scaffold_1,2044519,2070449,2057185,25000,0.002686
scaffold_1,2070450,2095773,2083143,25000,0.00322
scaffold_1,2095774,2121494,2108724,25000,0.00394
scaffold_1,2121495,2147747,2134705,25000,0.004766
scaffold_1,2147748,2173939,2160639,25000,0.005688
scaffold_1,2173940,2200645,2187298,25000,0.003438
scaffold_1,2200646,2226129,2213344,25000,0.005889
scaffold_1,2226130,2252600,2239309,25000,0.005759
scaffold_1,2252601,2278298,2265296,25000,0.004798
scaffold_1,2278299,2305486,2292014,25000,0.009162
scaffold_1,2305487,2331505,2318558,25000,0.00503
scaffold_1,2331506,2358233,2344388,25000,0.010051
scaffold_1,2358234,2384055,2371093,25000,0.005871
scaffold_1,2384056,2414474,2398769,25000,0.003437
scaffold_1,2414475,2441485,2427524,25000,0.003536
scaffold_1,2441486,2479178,2458612,25000,0.009271
scaffold_1,2479179,2505169,2492038,25000,0.007192
scaffold_1,2505170,2536462,2520626,25000,0.00846
scaffold_1,2536463,2565385,2550856,25000,0.006722
scaffold_1,2565386,2590982,2578298,25000,0.003056
scaffold_1,2590983,2619561,2604126,25000,0.004861
scaffold_1,2619562,2651449,2633056,25000,0.005954
scaffold_1,2651451,2677731,2664445,25000,0.007013
scaffold_1,2677732,2716320,2697083,25000,0.00472
scaffold_1,2716321,2744321,2730097,25000,0.005869
scaffold_1,2744322,2771030,2757502,25000,0.005332
scaffold_1,2771031,2799151,2784514,25000,0.007965
scaffold_1,2799152,2828483,2813579,25000,0.006497
scaffold_1,2828484,2857897,2841844,25000,0.007555
scaffold_1,2857898,2906903,2876638,25000,0.004326
scaffold_1,2906904,2939090,2924799,25000,0.003867
scaffold_1,2939091,2969103,2952218,25000,0.007861
scaffold_1,2969104,2997739,2983223,25000,0.013851
scaffold_1,2997740,3024883,3011093,25000,0.007302
scaffold_1,3024884,3105813,3059295,25000,0.006522
scaffold_1,3105814,3140133,3122924,25000,0.009937
scaffold_1,3140134,3168827,3154099,25000,0.010989
scaffold_1,3168828,3195704,3182075,25000,0.011466
scaffold_1,3195705,3222289,3209173,25000,0.010788
scaffold_1,3222290,3256749,3240424,25000,0.015411
scaffold_1,3256750,3290624,3272602,25000,0.014805
scaffold_1,3290625,3335843,3312822,25000,0.021015
scaffold_1,3335844,3382156,3365512,25000,0.014853
scaffold_1,3382157,3408941,3395634,25000,0.012083
scaffold_1,3408942,3435306,3421961,25000,0.011481
scaffold_1,3435307,3477266,3459109,25000,0.012697
scaffold_1,3477267,3507423,3492455,25000,0.018968
scaffold_1,3507424,3547271,3530020,25000,0.025981
scaffold_1,3547272,3575723,3561041,25000,0.011921
scaffold_1,3575724,3605712,3590645,25000,0.011281
scaffold_1,3605713,3634636,3620473,25000,0.010375
scaffold_1,3634638,3661539,3647873,25000,0.012702
scaffold_1,3661540,3692581,3676520,25000,0.015421
scaffold_1,3692582,3739123,3721001,25000,0.014199
scaffold_1,3739124,3766166,3752612,25000,0.009397
scaffold_1,3766167,3821036,3788189,25000,0.018507
scaffold_1,3821038,3857994,3841098,25000,0.017434
scaffold_1,3857995,3899224,3882927,25000,0.012532
scaffold_1,3899225,3925831,3912790,25000,0.007635
scaffold_1,3925832,3954022,3940244,25000,0.00624
scaffold_1,3954023,4000727,3971621,25000,0.003963
scaffold_1,4000728,4041544,4015667,25000,0.024859
scaffold_1,4041545,4070952,4057212,25000,0.017774
scaffold_1,4070953,4099105,4085646,25000,0.013209
scaffold_1,4099114,4129384,4113310,25000,0.018279
scaffold_1,4129386,4169051,4152775,25000,0.002545
scaffold_1,4169052,4196011,4182458,25000,0.006718
scaffold_1,4196012,4223800,4210152,25000,0.009362
scaffold_1,4223801,4251143,4237140,25000,0.018565
scaffold_1,4251144,4283373,4267807,25000,0.01276
scaffold_1,4283374,4310203,4296440,25000,0.011282
scaffold_1,4310204,4357811,4333183,25000,0.008418
scaffold_1,4357812,4384231,4370736,25000,0.006205
scaffold_1,4384232,4416210,4400241,25000,0.008547
scaffold_1,4416211,4445068,4430572,25000,0.011739
scaffold_1,4445069,4478162,4459413,25000,0.01224
scaffold_1,4478163,4505834,4491877,25000,0.011477
scaffold_1,4505835,4551708,4527007,25000,0.01366
scaffold_1,4551709,4587624,4572044,25000,0.013329
scaffold_1,4587625,4615973,4601833,25000,0.003772
scaffold_1,4615974,4642456,4629596,25000,0.004106
scaffold_1,4642457,4668778,4655565,25000,0.007788
scaffold_1,4668779,4695555,4681915,25000,0.00914
scaffold_1,4695556,4722985,4709373,25000,0.014331
scaffold_1,4722986,4749146,4735977,25000,0.012775
scaffold_1,4749147,4777467,4763137,25000,0.01506
scaffold_1,4777468,4813578,4797486,25000,0.010227
scaffold_1,4813579,4844493,4829076,25000,0.011139
scaffold_1,4844494,4879992,4866021,25000,0.010026
scaffold_1,4879993,4905964,4892985,25000,0.004128
scaffold_1,4905965,4931984,4919137,25000,0.00473
scaffold_1,4931985,4957646,4944836,25000,0.005668
scaffold_1,4957647,4983467,4970489,25000,0.005427
scaffold_1,4983468,5009576,4996528,25000,0.005171
scaffold_1,5009577,5035226,5022342,25000,0.006179
scaffold_1,5035227,5065007,5048264,25000,0.004406
scaffold_1,5065008,5100360,5080648,25000,0.006652
scaffold_1,5100361,5126659,5113523,25000,0.004075
scaffold_1,5126660,5152846,5139802,25000,0.005
scaffold_1,5152847,5181681,5167327,25000,0.00486
scaffold_1,5181682,5232712,5204284,25000,0.004853
scaffold_1,5232713,5257842,5245285,25000,0.001923
scaffold_1,5257843,5286804,5271838,25000,0.010342
scaffold_1,5286805,5313046,5299759,25000,0.013991
scaffold_1,5313047,5339849,5326577,25000,0.007509
scaffold_1,5339850,5365213,5352555,25000,0.002327
scaffold_1,5365214,5391574,5378566,25000,0.003017
scaffold_1,5391575,5418022,5404966,25000,0.003485
scaffold_1,5418023,5443544,5430683,25000,0.001943
scaffold_1,5443545,5469916,5456754,25000,0.004362
scaffold_1,5469917,5495426,5482684,25000,0.003804
scaffold_1,5495427,5520864,5508177,25000,0.0028
scaffold_1,5520865,5546563,5533823,25000,0.006646
