scaffold,start,end,mid,sites,pi_Sms1,pi_Sms2,dxy_Sms1_Sms2,Fst_Sms1_Sms2
scaffold_1,18912,45967,32387,25000,0.002321,0.002153,0.002091,-0.034743
scaffold_1,45968,247833,129245,25000,0.002773,0.002967,0.002805,-0.011913
scaffold_1,247834,359602,276032,25000,0.002451,0.002686,0.002422,-0.030386
scaffold_1,359603,455898,394745,25000,0.004194,0.00473,0.004454,-0.00085
scaffold_1,455903,560140,518721,25000,0.002773,0.004072,0.004358,0.123402
scaffold_1,560141,729344,643163,25000,0.001495,0.001593,0.005258,0.553872
scaffold_1,729345,833519,778069,25000,0.001261,0.001279,0.00129,0.007774
scaffold_1,833520,907639,880989,25000,0.001867,0.001763,0.00201,0.054255
scaffold_1,907640,1037343,969694,25000,0.002247,0.002234,0.002175,-0.015445
scaffold_1,1037344,1218011,1154420,25000,0.002839,0.002913,0.002793,-0.015116
scaffold_1,1218012,1431983,1334155,25000,0.003286,0.002836,0.006083,0.335895
scaffold_1,1431984,1471854,1455086,25000,0.002183,0.001879,0.002023,-0.003317
scaffold_1,1471855,1553896,1515199,25000,0.001984,0.001864,0.001895,-0.008239
scaffold_1,1553897,1669198,1607875,25000,0.001591,0.002177,0.004432,0.411125
scaffold_1,1669199,1735573,1708213,25000,0.001791,0.001921,0.001932,0.020676
scaffold_1,1735574,1841281,1786350,25000,0.001198,0.001458,0.00178,0.149351
scaffold_1,1841282,1955552,1900959,25000,0.001322,0.001384,0.001341,-0.004371
scaffold_1,1955553,1989581,1972959,25000,0.001465,0.001462,0.003837,0.455702
scaffold_1,1989582,2016812,2002882,25000,0.001199,0.001162,0.001114,-0.029868
scaffold_1,2016813,2054322,2033944,25000,0.001115,0.001117,0.001108,-0.003582
scaffold_1,2054323,2091866,2071636,25000,0.000887,0.0011,0.000943,-0.027164
scaffold_1,2091867,2117793,2104840,25000,0.001269,0.001341,0.001248,-0.023122
scaffold_1,2117794,2148348,2132834,25000,0.001183,0.001216,0.001128,-0.031942
