scaffold,start,end,mid,sites,pi_Hti1,pi_Hti2,dxy_Hti1_Hti2,Fst_Hti1_Hti2
scaffold_1,4910,71885,45911,25000,0.001213,0.001824,0.00159,0.024735
scaffold_1,71886,113861,93222,25000,0.00108,0.001332,0.001161,-0.005079
scaffold_1,113862,160276,137142,25000,0.000833,0.001076,0.001004,0.025849
scaffold_1,160277,239009,206506,25000,0.00083,0.001021,0.000861,-0.044068
scaffold_1,239010,298929,266158,25000,0.001295,0.000884,0.001075,-0.001092
scaffold_1,298930,392908,358231,25000,0.001544,0.001709,0.001898,0.074957
scaffold_1,392909,421241,406794,25000,0.00059,0.001263,0.000845,-0.065198
scaffold_1,421242,465010,444418,25000,0.000986,0.002062,0.001445,-0.028458
scaffold_1,465011,491684,477818,25000,0.001658,0.00291,0.002343,0.013525
scaffold_1,491685,586777,536587,25000,0.001436,0.001587,0.001385,-0.054104
scaffold_1,586778,618913,602324,25000,0.00129,0.001514,0.001343,-0.01112
scaffold_1,618914,650393,635904,25000,0.002041,0.00273,0.002097,-0.068846
scaffold_1,650394,780022,701517,25000,0.001691,0.001929,0.001627,-0.057172
scaffold_1,780023,857360,821002,25000,0.001539,0.001683,0.001652,0.01347
scaffold_1,857361,889444,875911,25000,0.001555,0.00233,0.001717,-0.065834
scaffold_1,889445,953670,924961,25000,0.001084,0.001448,0.001708,0.15702
scaffold_1,953671,1017314,981516,25000,0.000645,0.000827,0.000657,-0.058772
scaffold_1,1017315,1068769,1040930,25000,0.001523,0.002721,0.001896,-0.060292
scaffold_1,1068770,1126536,1101839,25000,0.002182,0.002121,0.001898,-0.067089
scaffold_1,1126537,1154370,1140632,25000,0.0029,0.001862,0.003422,0.189131
scaffold_1,1154371,1227425,1188146,25000,0.002739,0.002096,0.002422,0.000985
scaffold_1,1227426,1274315,1251281,25000,0.001898,0.002353,0.002499,0.085727
scaffold_1,1274316,1307333,1292305,25000,0.00168,0.001549,0.001484,-0.045048
scaffold_1,1307334,1355673,1327883,25000,0.001756,0.002008,0.001887,0.001444
scaffold_1,1355674,1403109,1385360,25000,0.002285,0.0023,0.002164,-0.030949
scaffold_1,1403110,1487727,1447271,25000,0.001823,0.002142,0.001943,-0.010338
scaffold_1,1487728,1571053,1541298,25000,0.001149,0.001036,0.00097,-0.061587
scaffold_1,1571054,1621243,1594113,25000,0.001259,0.001277,0.001166,-0.043064
scaffold_1,1621244,1714264,1668926,25000,0.00111,0.000971,0.00095,-0.052912
scaffold_1,1714265,1769894,1743222,25000,0.001098,0.001266,0.001031,-0.073063
scaffold_1,1769895,1826280,1800942,25000,0.001168,0.001612,0.001255,-0.054434
scaffold_1,1826281,1899530,1873963,25000,0.000952,0.00104,0.000875,-0.06888
scaffold_1,1899531,1958270,1920310,25000,0.00167,0.000888,0.001167,-0.062237
scaffold_1,1958271,2000326,1978218,25000,0.0027,0.002245,0.002617,0.030228
scaffold_1,2000327,2055924,2027656,25000,0.001187,0.001506,0.001218,-0.053829
